Wavelength (nm),Unnamed: 1,Unnamed: 2,Unnamed: 3,THYLTHA,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,THYRTHA,Unnamed: 10,Unnamed: 11,Unnamed: 12,Wavelength (nm)2,Abs
799.60774,,,,1441539.25,,,,,67182.17188,,,,7212000122.0,16332023.0
800.60926,,,,1444804.25,,,,,116763.5,,,,7207999878.0,16621917.0
801.61078,,,,1476748.0,,,,,44104.44922,,,,7204000244.0,17396403.0
802.6123,,,,1349421.0,,,,,76398.71094,,,,720.0,1883203.0
803.61382,,,,1430927.625,,,,,,,,,7195999756.0,19183386.0
804.61534,,,,1415518.375,,,,,,,,,7192000122.0,19583687.0
805.61686,,,,1406306.0,,,,,,,,,7187999878.0,19637335.0
806.61838,,,,1271491.625,,,,,,,,,7184000244.0,20919427.0
807.6199,,,,1281060.375,,,,,,,,,718.0,21976581.0
808.62142,,,,1275144.25,,,,,,,,,7175999756.0,23079772.0
809.62294,,,,1272030.5,,,,,,,,,7172000122.0,2370408.0
810.62446,,,,1264379.5,,,,,,,,,7167999878.0,24990985.0
811.62598,,,,1317465.875,,,,,,,,,7164000244.0,25262192.0
812.6275,,,,1279495.625,,,,,,,,,716.0,25940619.0
813.62902,,,,1175650.125,,,,,,,,,7155999756.0,27123673.0
814.63054,,,,1322698.75,,,,,,,,,7152000122.0,27826736.0
815.63206,,,,1116294.0,,,,,,,,,7147999878.0,28819857.0
816.63358,,,,1178376.25,,,,,,,,,7144000244.0,29783729.0
817.6351,,,,1172652.375,,,,,,,,,714.0,31837262.0
818.63662,,,,1090628.25,,,,,,,,,7135999756.0,32021478.0
819.63814,,,,1207183.25,,,,,,,,,7132000122.0,3314152.0
820.63966,,,,1286102.625,,,,,,,,,7127999878.0,34605566.0
821.64118,,,,1439972.5,,,,,,,,,7124000244.0,35999585.0
822.6427,,,,1401293.625,,,,,,,,,712.0,36748562.0
823.64422,,,,1541774.0,,,,,,,,,7115999756.0,37586406.0
824.64574,,,,1614457.125,,,,,,,,,7112000122.0,39218169.0
825.64726,,,,1407679.125,,,,,,,,,7107999878.0,40645916.0
826.64878,,,,1378349.5,,,,,,,,,7104000244.0,42178769.0
827.6503,,,,1300633.0,,,,,,,,,710.0,43012902.0
828.65182,,,,1327859.375,,,,,,,,,7095999756.0,44332862.0
829.65334,,,,989998.125,,,,,,,,,7092000122.0,46636615.0
830.65486,,,,1099268.125,,,,,,,,,7087999878.0,46823151.0
831.65638,,,,976111.0625,,,,,,,,,7084000244.0,49095146.0
832.6579,,,,926216.0,,,,,,,,,708.0,50259084.0
833.65942,,,,921774.3125,,,,,,,,,7075999756.0,52519485.0
834.66094,,,,876782.3125,,,,,,,,,7072000122.0,54504193.0
835.66246,,,,1020712.375,,,,,,,,,7067999878.0,56384139.0
836.66398,,,,820000.625,,,,,,,,,7064000244.0,5847073.0
837.6655,,,,788521.0,,,,,,,,,706.0,59979443.0
838.66702,,,,860668.5,,,,,,,,,7055999756.0,6193753.0
839.66854,,,,710533.8125,,,,,,,,,7052000122.0,63882865.0
840.67006,,,,820090.3125,,,,,,,,,7047999878.0,66449367.0
841.67158,,,,755036.4375,,,,,,,,,7044000244.0,69730125.0
842.6731,,,,599133.6875,,,,,,,,,704.0,71801245.0
843.67462,,,,752285.3125,,,,,,,,,7035999756.0,74812524.0
844.67614,,,,621868.0625,,,,,,,,,7032000122.0,77478111.0
845.67766,,,,499347.6875,,,,,,,,,7027999878.0,8033333.0
846.67918,,,,454348.0,,,,,,,,,7024000244.0,83503418.0
847.6807,,,,578688.9375,,,,,,,,,702.0,8666186.0
848.68222,,,,349046.0625,,,,,,,,,7015999756.0,90466939.0
849.68374,,,,215596.2344,,,,,,,,,7012000122.0,93833379.0
850.68526,,,,362369.625,,,,,,,,,7007999878.0,96702583.0
851.68678,,,,80541.69531,,,,,,,,,7004000244.0,10195715.0
852.6883,,,,-30252.76563,,,,,,,,,700.0,106160127.0
,,,,,,,,,,,,,6995999756.0,110270418.0
,,,,,,,,,,,,,6992000122.0,115056016.0
,,,,,,,,,,,,,6987999878.0,119545251.0
,,,,,,,,,,,,,6984000244.0,125659004.0
,,,,,,,,,,,,,698.0,13162069.0
,,,,,,,,,,,,,6975999756.0,136643693.0
,,,,,,,,,,,,,6972000122.0,142335191.0
,,,,,,,,,,,,,6967999878.0,149376556.0
,,,,,,,,,,,,,6964000244.0,155954465.0
,,,,,,,,,,,,,696.0,163340747.0
,,,,,,,,,,,,,6955999756.0,170456827.0
,,,,,,,,,,,,,6952000122.0,178050816.0
,,,,,,,,,,,,,6947999878.0,18673794.0
,,,,,,,,,,,,,6944000244.0,195269316.0
,,,,,,,,,,,,,694.0,204294965.0
,,,,,,,,,,,,,6935999756.0,213673621.0
,,,,,,,,,,,,,6932000122.0,223799944.0
,,,,,,,,,,,,,6927999878.0,234007791.0
,,,,,,,,,,,,,6924000244.0,244215176.0
,,,,,,,,,,,,,692.0,254848898.0
,,,,,,,,,,,,,6915999756.0,26578784.0
,,,,,,,,,,,,,6912000122.0,278020084.0
,,,,,,,,,,,,,6907999878.0,289990962.0
,,,,,,,,,,,,,6904000244.0,30221498.0
