Wavelength (nm);Abs_HP;Wavelength (nm);Abs_AT
638;0,100977399;688;0,48347798
637,5999756;0,099811465;687,5999756;0,503052056
637,2000122;0,098780893;687,2000122;0,52312845
636,7999878;0,097692631;686,7999878;0,543444753
636,4000244;0,09655448;686,4000244;0,563506901
636;0,095629536;686;0,583445966
635,5999756;0,094891295;685,5999756;0,603369534
635,2000122;0,09396442;685,2000122;0,622953832
634,7999878;0,09338785;684,7999878;0,641735554
634,4000244;0,092613265;684,4000244;0,659961462
634;0,092030868;684;0,677701175
633,5999756;0,091542207;683,5999756;0,69383049
633,2000122;0,091254696;683,2000122;0,708955944
632,7999878;0,090670101;682,7999878;0,722979426
632,4000244;0,090213209;682,4000244;0,735478461
632;0,090136521;682;0,746406555
631,5999756;0,089869931;681,5999756;0,755717516
631,2000122;0,089614928;681,2000122;0,763892293
630,7999878;0,089480385;680,7999878;0,77044332
630,4000244;0,089231588;680,4000244;0,775474191
630;0,089117028;680;0,779429376
629,5999756;0,089077465;679,5999756;0,781874716
629,2000122;0,089056902;679,2000122;0,783194125
628,7999878;0,088862911;678,7999878;0,783055961
628,4000244;0,088757247;678,4000244;0,782511413
628;0,088747181;678;0,78107971
627,5999756;0,088566467;677,5999756;0,778302133
627,2000122;0,088454276;677,2000122;0,774835944
626,7999878;0,08852841;676,7999878;0,771024287
626,4000244;0,088396303;676,4000244;0,766591251
626;0,08820416;676;0,761328459
625,5999756;0,088036798;675,5999756;0,756091058
625,2000122;0,087845229;675,2000122;0,750115216
624,7999878;0,087804005;674,7999878;0,743686557
624,4000244;0,087573804;674,4000244;0,737422943
624;0,087496758;674;0,730631709
623,5999756;0,0871436;673,5999756;0,723576486
623,2000122;0,086912036;673,2000122;0,715782821
622,7999878;0,086804695;672,7999878;0,70845592
622,4000244;0,086424276;672,4000244;0,700848162
622;0,086121313;672;0,692679763
621,5999756;0,085630715;671,5999756;0,68443805
621,2000122;0,085285716;671,2000122;0,675777733
620,7999878;0,085043713;670,7999878;0,666988969
620,4000244;0,084611289;670,4000244;0,657794058
620;0,084258556;670;0,648770809
619,5999756;0,083886132;669,5999756;0,639121294
619,2000122;0,083577938;669,2000122;0,629209399
618,7999878;0,083090015;668,7999878;0,619328678
618,4000244;0,082503587;668,4000244;0,608896792
618;0,082173102;668;0,598524392
617,5999756;0,081513733;667,5999756;0,587461948
617,2000122;0,081132546;667,2000122;0,576583505
616,7999878;0,0807098;666,7999878;0,565768778
616,4000244;0,08003179;666,4000244;0,554156959
616;0,079454571;666;0,542763829
615,5999756;0,07882309;665,5999756;0,531310022
615,2000122;0,078345686;665,2000122;0,519392729
614,7999878;0,077922568;664,7999878;0,507639408
614,4000244;0,077292874;664,4000244;0,495968372
614;0,076664127;664;0,484319925
613,5999756;0,076315403;663,5999756;0,472525209
613,2000122;0,075745165;663,2000122;0,46096006
612,7999878;0,075134963;662,7999878;0,449439168
612,4000244;0,074609116;662,4000244;0,437696904
612;0,074228995;662;0,426619649
611,5999756;0,073485382;661,5999756;0,415854365
611,2000122;0,073272906;661,2000122;0,404825896
610,7999878;0,072724245;660,7999878;0,394342095
610,4000244;0,072264381;660,4000244;0,383779526
610;0,071713999;660;0,373714745
609,5999756;0,071208566;659,5999756;0,364367098
609,2000122;0,070803985;659,2000122;0,35530296
608,7999878;0,070254959;658,7999878;0,346062481
608,4000244;0,069850326;658,4000244;0,337688148
608;0,069321118;658;0,329657853
607,5999756;0,068869509;657,5999756;0,321763337
607,2000122;0,068485707;657,2000122;0,314173013
606,7999878;0,068106905;656,7999878;0,307058215
606,4000244;0,067702241;656,4000244;0,300132722
606;0,067333005;656;0,294362217
605,5999756;0,067060411;655,5999756;0,287993789
605,2000122;0,066562086;655,2000122;0,282480359
604,7999878;0,066282317;654,7999878;0,276994765
604,4000244;0,066156678;654,4000244;0,272055447
604;0,065777853;654;0,267142981
603,5999756;0,065518036;653,5999756;0,262656093
603,2000122;0,06499327;653,2000122;0,258286089
602,7999878;0,064834379;652,7999878;0,254375011
602,4000244;0,064590439;652,4000244;0,250716984
602;0,064451151;652;0,24705869
601,5999756;0,06417238;651,5999756;0,243493766
601,2000122;0,06403292;651,2000122;0,240213156
600,7999878;0,063814022;650,7999878;0,237134248
600,4000244;0,063855246;650,4000244;0,234207764
600;0,063628674;650;0,231124923
599,5999756;0,063448288;649,5999756;0,228554308
599,2000122;0,063232943;649,2000122;0,225679755
598,7999878;0,06286519;648,7999878;0,223125666
598,4000244;0,062702045;648,4000244;0,220798001
598;0,062580794;648;0,218501881
597,5999756;0,062354732;647,5999756;0,216158509
597,2000122;0,062204447;647,2000122;0,21431537
596,7999878;0,061995331;646,7999878;0,212150455
596,4000244;0,061902393;646,4000244;0,210418075
596;0,061884783;646;0,208424196
595,5999756;0,061573554;645,5999756;0,206844136
595,2000122;0,061507966;645,2000122;0,205203489
594,7999878;0,061344709;644,7999878;0,203973055
594,4000244;0,061097417;644,4000244;0,202472702
594;0,06096106;644;0,201119229
593,5999756;0,060748197;643,5999756;0,199969828
593,2000122;0,060519546;643,2000122;0,199045733
592,7999878;0,060371593;642,7999878;0,198107749
592,4000244;0,06009474;642,4000244;0,197515324
592;0,059792157;642;0,19685258
591,5999756;0,059533607;641,5999756;0,195753321
591,2000122;0,05924011;641,2000122;0,195212215
590,7999878;0,059075981;640,7999878;0,194641396
590,4000244;0,058919922;640,4000244;0,194094315
590;0,05848261;640;0,194094345
589,5999756;0,05828321;639,5999756;0,193429902
589,2000122;0,057904534;639,2000122;0,192986384
588,7999878;0,057646159;638,7999878;0,192789018
588,4000244;0,057216089;638,4000244;0,192799345
588;0,056938145;638;0,192378804
587,5999756;0,056802969;637,5999756;0,192376062
587,2000122;0,056515086;637,2000122;0,192518905
586,7999878;0,055984057;636,7999878;0,192490324
586,4000244;0,055568047;636,4000244;0,192019925
586;0,055465326;636;0,192109793
585,5999756;0,055145789;635,5999756;0,19208546
585,2000122;0,054651454;635,2000122;0,192124739
584,7999878;0,054263495;634,7999878;0,192185789
584,4000244;0,053811945;634,4000244;0,192104757
584;0,053626981;634;0,192261264
583,5999756;0,053107455;633,5999756;0,192419887
583,2000122;0,052747704;633,2000122;0,192667857
582,7999878;0,052421689;632,7999878;0,192651361
582,4000244;0,05204447;632,4000244;0,192727685
582;0,051705632;632;0,192783967
581,5999756;0,051261682;631,5999756;0,192766294
581,2000122;0,050902378;631,2000122;0,193080291
580,7999878;0,050571114;630,7999878;0,192919686
580,4000244;0,050181929;630,4000244;0,193022102
580;0,049713179;630;0,192765087
579,5999756;0,049470246;629,5999756;0,192711234
579,2000122;0,049069118;629,2000122;0,192419156
578,7999878;0,048526965;628,7999878;0,192378879
578,4000244;0,048059218;628,4000244;0,192141905
578;0,047677822;628;0,19202891
577,5999756;0,047148366;627,5999756;0,1916302
577,2000122;0,046717204;627,2000122;0,191095039
576,7999878;0,046315558;626,7999878;0,190889299
576,4000244;0,045875702;626,4000244;0,190419674
576;0,045378353;626;0,19018817
575,5999756;0,044857029;625,5999756;0,190000296
575,2000122;0,044372913;625,2000122;0,18971765
574,7999878;0,044166163;624,7999878;0,188646913
574,4000244;0,043572366;624,4000244;0,188066214
574;0,043041144;624;0,187612981
573,5999756;0,042538319;623,5999756;0,186767936
573,2000122;0,04207914;623,2000122;0,186281994
572,7999878;0,04143063;622,7999878;0,185141057
572,4000244;0,041070659;622,4000244;0,18439135
572;0,040532313;622;0,183531731
571,5999756;0,040066987;621,5999756;0,182951197
571,2000122;0,039275035;621,2000122;0,181427538
570,7999878;0,038865689;620,7999878;0,180429533
570,4000244;0,038518809;620,4000244;0,179367811
570;0,038015515;620;0,178369016
569,5999756;0,037529137;619,5999756;0,177051649
569,2000122;0,037116073;619,2000122;0,175793603
568,7999878;0,036849033;618,7999878;0,174870357
568,4000244;0,036232986;618,4000244;0,173343524
568;0,035751104;618;0,172264904
567,5999756;0,035070464;617,5999756;0,171046332
567,2000122;0,034687713;617,2000122;0,169486105
566,7999878;0,034319192;616,7999878;0,167835802
566,4000244;0,033817463;616,4000244;0,166477382
566;0,033270445;616;0,164823368
565,5999756;0,032910388;615,5999756;0,163137108
565,2000122;0,032624263;615,2000122;0,161607638
564,7999878;0,032168359;614,7999878;0,16022642
564,4000244;0,031886037;614,4000244;0,158340037
564;0,0312966;614;0,156448588
563,5999756;0,031033779;613,5999756;0,155013368
563,2000122;0,03093292;613,2000122;0,153360859
562,7999878;0,030484285;612,7999878;0,151818529
562,4000244;0,030176029;612,4000244;0,150453508
562;0,029994952;612;0,148744151
561,5999756;0,029767402;611,5999756;0,147325382
561,2000122;0,029283913;611,2000122;0,145699367
560,7999878;0,029187558;610,7999878;0,144184172
560,4000244;0,028985307;610,4000244;0,142628774
560;0,028899226;610;0,141588375
559,5999756;0,028653501;609,5999756;0,13983421
559,2000122;0,028360715;609,2000122;0,138421863
558,7999878;0,028151723;608,7999878;0,137074575
558,4000244;0,027975215;608,4000244;0,135728926
558;0,027902612;608;0,134444162
557,5999756;0,027875395;607,5999756;0,133091867
557,2000122;0,027562888;607,2000122;0,132031247
556,7999878;0,027390892;606,7999878;0,130810916
556,4000244;0,027513932;606,4000244;0,129544199
556;0,027593946;606;0,128934637
555,5999756;0,027385516;605,5999756;0,127883613
555,2000122;0,027234454;605,2000122;0,12701796
554,7999878;0,027258048;604,7999878;0,12593469
554,4000244;0,02718446;604,4000244;0,125249341
554;0,027187273;604;0,124299273
553,5999756;0,027319545;603,5999756;0,123906598
553,2000122;0,02721756;603,2000122;0,123212159
552,7999878;0,02724942;602,7999878;0,122589685
552,4000244;0,027332941;602,4000244;0,122058608
552;0,027424255;602;0,121189557
551,5999756;0,027099259;601,5999756;0,1205943
551,2000122;0,02723247;601,2000122;0,120121665
550,7999878;0,02718471;600,7999878;0,119825006
550,4000244;0,027112871;600,4000244;0,119567446
550;0,027426075;600;0,119272254
549,5999756;0,027489802;599,5999756;0,118912347
549,2000122;0,027305376;599,2000122;0,118389145
548,7999878;0,027461287;598,7999878;0,118299671
548,4000244;0,027348794;598,4000244;0,118126147
548;0,027592292;598;0,117709778
547,5999756;0,027646415;597,5999756;0,11750304
547,2000122;0,027728191;597,2000122;0,117124967
546,7999878;0,027662968;596,7999878;0,11667908
546,4000244;0,027483623;596,4000244;0,116764903
546;0,027671576;596;0,116504818
545,5999756;0,027777227;595,5999756;0,11646542
545,2000122;0,027853426;595,2000122;0,116264507
544,7999878;0,027854888;594,7999878;0,116062239
544,4000244;0,028002769;594,4000244;0,115761578
544;0,028118581;594;0,115431212
543,5999756;0,027922239;593,5999756;0,115375564
543,2000122;0,027975492;593,2000122;0,114748061
542,7999878;0,027965553;592,7999878;0,114701673
542,4000244;0,027956938;592,4000244;0,113971986
542;0,027934577;592;0,114027485
541,5999756;0,027993355;591,5999756;0,113619939
541,2000122;0,027991174;591,2000122;0,113302752
540,7999878;0,027948491;590,7999878;0,112862788
540,4000244;0,028015388;590,4000244;0,112698771
540;0,027955836;590;0,112240747
539,5999756;0,028038885;589,5999756;0,111651361
539,2000122;0,027942169;589,2000122;0,111220449
538,7999878;0,028146891;588,7999878;0,111193165
538,4000244;0,028016685;588,4000244;0,110624969
538;0,028074672;588;0,110232577
537,5999756;0,027957989;587,5999756;0,109521478
537,2000122;0,027985238;587,2000122;0,109226577
536,7999878;0,028208209;586,7999878;0,108923063
536,4000244;0,028020633;586,4000244;0,10831447
536;0,028112616;586;0,107569456
535,5999756;0,028212298;585,5999756;0,10706225
535,2000122;0,028232407;585,2000122;0,106442139
534,7999878;0,028401863;584,7999878;0,105679594
534,4000244;0,028474357;584,4000244;0,105100587
534;0,028660912;584;0,104435623
533,5999756;0,028724903;583,5999756;0,103833415
533,2000122;0,028969618;583,2000122;0,103311405
532,7999878;0,029035231;582,7999878;0,102482848
532,4000244;0,029069634;582,4000244;0,101833232
532;0,02923302;582;0,101215735
531,5999756;0,029387271;581,5999756;0,100419171
531,2000122;0,029621467;581,2000122;0,099702746
530,7999878;0,029797565;580,7999878;0,098927706
530,4000244;0,030095289;580,4000244;0,0979077
530;0,030349519;580;0,097148225
529,5999756;0,030643232;579,5999756;0,096550599
529,2000122;0,030838087;579,2000122;0,095531307
528,7999878;0,031104321;578,7999878;0,094603777
528,4000244;0,031470124;578,4000244;0,093809448
528;0,031714354;578;0,092743933
527,5999756;0,032099482;577,5999756;0,091924585
527,2000122;0,032597978;577,2000122;0,090761937
526,7999878;0,032957189;576,7999878;0,089774303
526,4000244;0,033443641;576,4000244;0,089118809
