Wavelength (nm);emAF;emCE;emHA;emHP;emAT;emFA
776,57278;1684654,25;10931493;2544747;10886526;0,203346305;16711137
777,5743;1491604,125;10022777;2440980,75;10408438;0,199520496;15665874
778,57582;1568472,875;9925704;2247235;10048851;0,193181522;15045001
779,57734;1447955,375;9500636;2234828,75;9573389;0,187589542;14344124
780,57886;1498382,375;9016720;2205848,75;9470586;0,184147366;13784811
781,58038;1470823,5;8877500;2085423,75;8981486;0,178987644;12921430
782,5819;1339857,5;8512633;2029505,25;8669225;0,17248494;12538602
783,58342;1326598,625;8207863;2061031,75;8300587,5;0,161163133;11403096
784,58494;1274060,5;7625938,5;1905290,875;8193086,5;0,168007969;11387791
785,58646;1194971,25;7305184;1887193,75;7097206,5;0,164179255;10450817
786,58798;1159778,25;7183558;1723787;7357909,5;0,160264949;9925206
787,5895;1061321,625;6713614;1803471,75;6986735,5;0,15682836;9217516
788,59102;1112367,25;6513817,5;1791436,125;7205046;0,153707716;9133553
789,59254;1022329,063;6884336,5;1616733,875;6969003,5;0,150010552;8751739
790,59406;1085392,25;6350208;1722929,125;6470671,5;0,149217284;8376946
791,59558;1012547,813;6370347;1704058,25;6290145,5;0,14548042;8133599
792,5971;1038214;6015664,5;1693652;6576794;0,145617662;7679629
793,59862;1002356;6011618;1554941,375;6234457,5;0,138974915;7200405,5
794,60014;1020705,75;5738720;1486020,875;5848368;0,137063654;7106896
795,60166;900849;5587565,5;1507398,75;6266031;0,134002665;6982531,5
796,60318;994388,375;5264519,5;1553570;5808965,5;0,131303737;6960501,5
797,6047;950413,25;5480724;1455288,25;6129725;0,130706854;6471455
798,60622;873112,5;5012963;1474702,375;5680116;0,126984542;6255650
799,60774;838887,75;5007039;1441539,25;5750201,5;0,128772378;5999178
800,60926;910487,25;4904459,5;1444804,25;5464847;0,122170961;5904296
801,61078;871386,875;5044518,5;1476748;5224993;0,127134956;5720317,5
802,6123;889632,25;4623850,5;1349421;5647704,5;0,117821741;5870559,5
803,61382;801988,9375;4815731;1430927,625;5459575;0,111923386;5674292,5
804,61534;868209,9375;4866775;1415518,375;5063095;0,113963108;5348483,5
805,61686;788283,125;4746162,5;1406306;5403876;0,112168331;5348708,5
806,61838;793355,5625;4426153;1271491,625;4916029;0,110631133;5164364,5
807,6199;720970,625;4420283;1281060,375;5502055,5;0,10788973;5111999,5
808,62142;862287,4375;4503255;1275144,25;4874412,5;0,103607455;4968993
809,62294;884944,4375;4474330;1272030,5;5031904,5;0,101553326;5033656
810,62446;815944,6875;4485217;1264379,5;4884779;0,096226976;5103067
811,62598;773308,6875;4084074;1317465,875;4494197,5;0,095489328;4974194
812,6275;749982;4320969;1279495,625;4804218;0,097489047;4854230,5
813,62902;723264,25;4475174,5;1175650,125;4518657,5;0,093677054;5026677
814,63054;729055,1875;4404677;1322698,75;4597703;0,089239252;4856432,5
815,63206;691978,3125;4106902,5;1116294;4903837;0,084921154;4787806,5
816,63358;773475,75;4093936,75;1178376,25;4377514,5;0,083291705;4725815,5
817,6351;683064;3921047,75;1172652,375;4392898,5;0,079525841;4580626
818,63662;645152,375;4229948;1090628,25;4282187,5;0,078700222;4601261,5
819,63814;783211;3979373;1207183,25;4663273;0,078946922;4875224
820,63966;758414,625;3923403,5;1286102,625;4415524;0,077692699;4724129
821,64118;786460;4242839,5;1439972,5;4703864;0,075393533;4975074
822,6427;908446,125;4573181;1401293,625;5012023,5;0,072768102;5073028
823,64422;841357,5;4411614;1541774;5168572;0,07294511;5193899
824,64574;795778,375;4045295,5;1614457,125;4977731;0,070834382;5066803,5
825,64726;846147,75;3895386;1407679,125;4708150;0,067589484;4810911
826,64878;814851,6875;3779039,5;1378349,5;4155620,75;0,063488909;4946717,5
827,6503;767923,1875;3621098,5;1300633;4152422,75;0,061638014;4565050,5
828,65182;769998;3502427,5;1327859,375;4656786;0,060038898;4968905
829,65334;580542,4375;3422164,5;989998,125;3917923,75;0,057388366;4203805
830,65486;659704,9375;3356466,5;1099268,125;3342098,75;0,052661817;4249993
831,65638;521323,6563;3066664,75;976111,0625;3648538,75;0,050636674;3859023,75
832,6579;514426,3438;3003388;926216;3524548;0,049449784;3739386
833,65942;525057,625;2844204,25;921774,3125;3627856,5;0,048032639;4049705
834,66094;552504,625;3107889,5;876782,3125;3484353;0,046026623;4005461
835,66246;526490,1875;3391864,5;1020712,375;3855259,5;0,043128622;3972631,5
836,66398;433838,9063;2872289,5;820000,625;2935123,25;0,041378114;3623448
837,6655;471012,7813;2731069,25;788521;3116633,75;0,038138162;3501447,5
838,66702;391286,9375;2115463,75;860668,5;2845336,25;0,036603688;3541216,75
839,66854;305481,9063;2410537,5;710533,8125;2673911,75;0,034123038;3432491,5
840,67006;365665,75;2342307;820090,3125;2348829,25;0,033563476;3069150
841,67158;345288,7188;2322821,75;755036,4375;2307701;0,032142847;2927000,75
842,6731;347632,8125;2030073,625;599133,6875;2295723,25;0,028944613;2903692
843,67462;230279,0156;1923271,875;752285,3125;2420425,5;0,025704915;2454363,75
844,67614;63547,32031;2501337;621868,0625;2039303,25;0,027234476;2595093,75
845,67766;379892,5313;2454009,5;499347,6875;1602187,25;0,024339672;2709919,5
846,67918;95612,72656;1899077,625;454348;1592215,875;0,023592356;2328947,75
847,6807;-10427,65234;1545383,75;578688,9375;1358579,75;0,021304226;2224101,5
848,68222;256257,6094;2024849,5;349046,0625;1076944,875;0,02103597;2196096,75
849,68374;191723,3281;1104428;215596,2344;2248025;0,017658626;2085236,375
850,68526;95957,01563;1666994,125;362369,625;1650716;0,0182673;1823761,25
851,68678;91445,1875;1603594,75;80541,69531;1030176,625;0,014697477;1602284
852,6883;319900,0313;1075842;-30252,76563;1755963,5;0,013374007;1462930,375
