wavelength_fluor;em_rt_hp;wavelength_abs;abs_hp
;;683,2000122;0,468080223
;;682,7999878;0,473701447
;;682,4000244;0,479034901
;;682;0,483965069
;;681,5999756;0,487728864
;;681,2000122;0,49133727
;;680,7999878;0,494053304
;;680,4000244;0,495436549
;;680;0,497423559
;;679,5999756;0,4988904
;;679,2000122;0,498485118
;;678,7999878;0,49833402
;;678,4000244;0,499314457
;;678;0,498095483
;;677,5999756;0,497394145
;;677,2000122;0,496198595
;;676,7999878;0,494371742
;;676,4000244;0,493685424
;;676;0,491322875
;;675,5999756;0,490346134
;;675,2000122;0,48844114
;;674,7999878;0,486750513
;;674,4000244;0,484919637
;;674;0,482757598
;;673,5999756;0,480738491
;;673,2000122;0,47788015
;;672,7999878;0,475539774
;;672,4000244;0,473944485
;;672;0,471885562
;;671,5999756;0,46873793
;;671,2000122;0,46663323
;;670,7999878;0,462798327
;;670,4000244;0,460134029
;;670;0,456781179
;;669,5999756;0,452753216
;;669,2000122;0,450986356
;;668,7999878;0,447439849
;;668,4000244;0,444116175
;;668;0,440879703
;;667,5999756;0,437283158
;;667,2000122;0,433388442
;;666,7999878;0,430430472
;;666,4000244;0,425210446
;;666;0,421927065
;;665,5999756;0,418407589
;;665,2000122;0,414575785
;;664,7999878;0,410426587
;;664,4000244;0,406847805
;;664;0,403660446
;;663,5999756;0,399280667
;;663,2000122;0,395784915
;;662,7999878;0,39201209
;;662,4000244;0,389083952
;;662;0,38597545
;;661,5999756;0,382342488
;;661,2000122;0,379441559
;;660,7999878;0,376452863
;;660,4000244;0,374141336
;;660;0,371155739
;;659,5999756;0,368248731
;;659,2000122;0,365448892
;;658,7999878;0,363697588
;;658,4000244;0,361731738
;;658;0,359755516
;;657,5999756;0,357457429
;;657,2000122;0,35577938
;;656,7999878;0,353554785
;;656,4000244;0,352430403
;;656;0,350837499
;;655,5999756;0,348823011
;;655,2000122;0,347636342
;;654,7999878;0,346202612
;;654,4000244;0,344086647
;;654;0,343165785
;;653,5999756;0,341719151
;;653,2000122;0,339974433
;;652,7999878;0,338791132
;;652,4000244;0,337312281
;;652;0,336187005
;;651,5999756;0,334503412
;;651,2000122;0,332988203
;;650,7999878;0,330980212
;;650,4000244;0,328825891
;;650;0,326853216
;;649,5999756;0,324557364
;;649,2000122;0,322008461
;;648,7999878;0,319091082
;;648,4000244;0,316746682
;;648;0,313407689
;;647,5999756;0,310472727
;;647,2000122;0,307336927
;;646,7999878;0,303687543
;;646,4000244;0,300870985
;;646;0,297438711
;;645,5999756;0,294244409
;;645,2000122;0,291197181
;;644,7999878;0,287571669
;;644,4000244;0,284023911
;;644;0,281279534
;;643,5999756;0,27807194
;;643,2000122;0,274986237
;;642,7999878;0,271843076
;;642,4000244;0,268721193
;;642;0,26628378
;;641,5999756;0,263520509
;;641,2000122;0,260954291
;;640,7999878;0,258214623
;;640,4000244;0,255209684
;;640;0,253306121
;;639,5999756;0,250286967
;;639,2000122;0,248637587
;;638,7999878;0,24572672
;;638,4000244;0,243739352
;;638;0,241787046
;;637,5999756;0,239758104
;;637,2000122;0,237752453
;;636,7999878;0,235910162
;;636,4000244;0,234127417
;;636;0,232616052
;;635,5999756;0,230845317
;;635,2000122;0,229622379
;;634,7999878;0,228723988
;;634,4000244;0,227917761
;;634;0,226580173
;;633,5999756;0,225977212
;;633,2000122;0,224824965
;;632,7999878;0,224389479
;;632,4000244;0,22431241
;;632;0,223254234
;;631,5999756;0,222786248
;;631,2000122;0,222709045
;;630,7999878;0,222632885
;;630,4000244;0,222257152
;;630;0,221947759
;;629,5999756;0,221633852
;;629,2000122;0,221895635
;;628,7999878;0,222017199
;;628,4000244;0,221889898
;;628;0,222001448
;;627,5999756;0,22197257
;;627,2000122;0,221638203
;;626,7999878;0,221626729
;;626,4000244;0,221686065
;;626;0,221663043
;;625,5999756;0,220956534
;;625,2000122;0,221158207
;;624,7999878;0,22092253
;;624,4000244;0,220735207
;;624;0,220157102
;;623,5999756;0,220291808
;;623,2000122;0,219722241
;;622,7999878;0,219331086
;;622,4000244;0,218494594
;;622;0,217833072
;;621,5999756;0,217885047
;;621,2000122;0,217839956
;;620,7999878;0,217004925
;;620,4000244;0,216337219
;;620;0,215313584
;;619,5999756;0,214424729
;;619,2000122;0,213993743
;;618,7999878;0,213427842
;;618,4000244;0,212483764
;;618;0,211580083
;;617,5999756;0,21053268
;;617,2000122;0,210257947
;;616,7999878;0,209197938
;;616,4000244;0,208229646
;;616;0,206955642
;;615,5999756;0,206166476
;;615,2000122;0,204954639
;;614,7999878;0,204854682
;;614,4000244;0,203153879
;;614;0,202518046
;;613,5999756;0,201677635
;;613,2000122;0,200986028
;;612,7999878;0,200368598
;;612,4000244;0,198857144
;;612;0,198788449
;;611,5999756;0,197477952
;;611,2000122;0,19667834
;;610,7999878;0,195195586
;;610,4000244;0,194905251
;;610;0,194293723
;;609,5999756;0,193352312
;;609,2000122;0,192856655
;;608,7999878;0,191622064
;;608,4000244;0,191096216
;;608;0,190955788
;;607,5999756;0,190264747
;;607,2000122;0,189471841
;;606,7999878;0,188274771
;;606,4000244;0,187655255
;;606;0,187006742
;;605,5999756;0,186609313
;;605,2000122;0,185635254
;;604,7999878;0,185293645
;;604,4000244;0,18480815
;;604;0,184190497
;;603,5999756;0,183960438
;;603,2000122;0,183540821
;;602,7999878;0,183232591
;;602,4000244;0,18273145
;;602;0,182495341
;;601,5999756;0,181629986
;;601,2000122;0,181575686
;;600,7999878;0,181127876
;;600,4000244;0,180644587
;;600;0,180612057
;;599,5999756;0,180313736
;;599,2000122;0,180515826
;;598,7999878;0,179689556
;;598,4000244;0,179449305
;;598;0,179278418
;;597,5999756;0,178687528
;;597,2000122;0,177702874
;;596,7999878;0,177728996
;;596,4000244;0,177975699
;;596;0,177558973
;;595,5999756;0,177046984
;;595,2000122;0,177011773
;;594,7999878;0,176199988
;;594,4000244;0,175779328
;;594;0,175687924
;;593,5999756;0,174925298
;;593,2000122;0,1744508
;;592,7999878;0,173465401
;;592,4000244;0,17304638
;;592;0,173057526
;;591,5999756;0,172748894
;;591,2000122;0,171926379
;;590,7999878;0,171393827
;;590,4000244;0,170584947
;;590;0,169989049
;;589,5999756;0,169450149
;;589,2000122;0,16950044
;;588,7999878;0,168317333
;;588,4000244;0,167873457
;;588;0,166075647
;;587,5999756;0,16615507
;;587,2000122;0,165803626
;;586,7999878;0,164633289
;;586,4000244;0,164954066
;;586;0,163264394
;;585,5999756;0,163026393
;;585,2000122;0,162268221
;;584,7999878;0,16160506
;;584,4000244;0,161070526
;;584;0,159770727
;;583,5999756;0,159017488
;;583,2000122;0,158963546
;;582,7999878;0,158061534
;;582,4000244;0,156625763
;;582;0,156121284
;;581,5999756;0,154533953
;;581,2000122;0,154044583
;;580,7999878;0,153295323
;;580,4000244;0,152573422
;;580;0,151552141
;;579,5999756;0,151100576
;;579,2000122;0,150576219
;;578,7999878;0,148984775
;;578,4000244;0,147899404
;;578;0,14735046
;;577,5999756;0,146095887
;;577,2000122;0,145397455
;;576,7999878;0,144227982
;;576,4000244;0,143232748
;;576;0,142242014
;;575,5999756;0,14111653
;;575,2000122;0,139245182
;;574,7999878;0,138218552
;;574,4000244;0,137248054
;;574;0,136415869
;;573,5999756;0,136276111
;;573,2000122;0,135001645
;;572,7999878;0,133361384
;;572,4000244;0,132650018
;;572;0,130886078
;;571,5999756;0,129723981
;;571,2000122;0,128887504
;;570,7999878;0,127998054
;;570,4000244;0,126996428
;;570;0,125326201
;;569,5999756;0,124537826
;;569,2000122;0,123137154
;;568,7999878;0,121994048
;;568,4000244;0,121055037
;;568;0,120457843
;;567,5999756;0,118285492
;;567,2000122;0,117303722
;;566,7999878;0,116853923
;;566,4000244;0,11571049
;;566;0,114845946
;;565,5999756;0,113964446
;;565,2000122;0,113045499
;;564,7999878;0,111905307
;;564,4000244;0,111135885
;;564;0,110023297
;;563,5999756;0,10978891
;;563,2000122;0,108890265
;;562,7999878;0,107565343
;;562,4000244;0,107580863
;;562;0,106991604
;;561,5999756;0,106063224
;;561,2000122;0,105757751
;;560,7999878;0,104877904
;;560,4000244;0,104881302
;;560;0,103993461
;;559,5999756;0,103878662
;;559,2000122;0,103817932
;;558,7999878;0,103612803
;;558,4000244;0,102613308
;;558;0,103002615
;;557,5999756;0,102841459
;;557,2000122;0,102285549
;;556,7999878;0,10244371
;;556,4000244;0,102140084
;;556;0,102462031
;;555,5999756;0,102359854
;;555,2000122;0,101739153
;;554,7999878;0,10207957
;;554,4000244;0,102073737
;;554;0,101788692
;;553,5999756;0,102615573
;;553,2000122;0,101936035
;;552,7999878;0,102476224
;;552,4000244;0,101652749
;;552;0,102533057
;;551,5999756;0,102318898
;;551,2000122;0,102582589
;;550,7999878;0,103073068
;;550,4000244;0,102978692
;;550;0,103161596
;;549,5999756;0,103366517
;;549,2000122;0,102888301
;;548,7999878;0,104504079
;;548,4000244;0,104081087
;;548;0,104333542
;;547,5999756;0,104760759
;;547,2000122;0,104589038
;;546,7999878;0,104387134
;;546,4000244;0,105700985
;;546;0,105642781
;;545,5999756;0,105787143
;;545,2000122;0,106134675
;;544,7999878;0,106118716
;;544,4000244;0,105517276
;;544;0,106181875
;;543,5999756;0,105879158
;;543,2000122;0,106464297
;;542,7999878;0,107171372
;;542,4000244;0,106779374
;;542;0,10688746
;;541,5999756;0,107295893
;;541,2000122;0,107390486
;;540,7999878;0,107762039
;;540,4000244;0,107639037
;;540;0,107821159
;;539,5999756;0,108628131
;;539,2000122;0,108310953
;;538,7999878;0,10799028
;;538,4000244;0,108354367
;;538;0,109364808
;;537,5999756;0,109266393
;;537,2000122;0,10942775
;;536,7999878;0,110090263
;;536,4000244;0,110246092
;;536;0,110623233
;;535,5999756;0,110551573
;;535,2000122;0,110993475
;;534,7999878;0,111768164
;;534,4000244;0,111909725
;;534;0,112875909
;;533,5999756;0,112779111
;;533,2000122;0,113597609
;;532,7999878;0,114236482
;;532,4000244;0,114783064
;;532;0,115527429
;;531,5999756;0,11636246
;;531,2000122;0,116788209
;;530,7999878;0,117060527
;;530,4000244;0,11880932
;;530;0,119342029
;;529,5999756;0,120279595
;;529,2000122;0,121602289
;;528,7999878;0,12225686
;;528,4000244;0,123278655
;;528;0,124298103
;;527,5999756;0,125902563
;;527,2000122;0,12725015
;;526,7999878;0,128415719
;;526,4000244;0,129847124
;;526;0,131286264
;;525,5999756;0,133001775
;;525,2000122;0,135246292
;;524,7999878;0,136596993
;;524,4000244;0,137951836
;;524;0,140037715
;;523,5999756;0,14226076
;;523,2000122;0,144215062
;;522,7999878;0,146490514
;;522,4000244;0,148183063
;;522;0,150763646
;;521,5999756;0,152917832
;;521,2000122;0,155620158
;;520,7999878;0,158056811
;;520,4000244;0,160140395
;;520;0,163391277
;;519,5999756;0,16594483
;;519,2000122;0,169252425
;;518,7999878;0,171853274
;;518,4000244;0,174496979
;;518;0,178050429
;;517,5999756;0,18102701
;;517,2000122;0,184270337
;;516,7999878;0,187614217
;;516,4000244;0,191795349
;;516;0,195173264
;;515,5999756;0,198554277
;;515,2000122;0,20220983
;;514,7999878;0,206478566
;;514,4000244;0,209235355
;;514;0,213917226
;;513,5999756;0,217350602
;;513,2000122;0,221599475
;;512,7999878;0,225804418
;;512,4000244;0,230438829
;;512;0,234349951
;;511,6000061;0,238398716
;;511,1999817;0,242716059
;;510,7999878;0,247539222
;;510,3999939;0,251923144
;;510;0,256633133
;;509,6000061;0,260496348
;;509,1999817;0,265928596
;;508,7999878;0,270287931
;;508,3999939;0,275176019
;;508;0,280905724
;;507,6000061;0,284993887
;;507,1999817;0,28943342
;;506,7999878;0,294474751
;;506,3999939;0,299024522
;;506;0,304899067
;;505,6000061;0,309161365
;;505,1999817;0,313882768
;;504,7999878;0,319020569
;;504,3999939;0,323486447
;;504;0,328662902
;;503,6000061;0,333555371
;;503,1999817;0,338382334
;;502,7999878;0,34349519
;;502,3999939;0,348289162
;;502;0,353193939
;;501,6000061;0,357605696
;;501,1999817;0,362924039
;;500,7999878;0,367405444
;;500,3999939;0,372733116
;;500;0,376751572
;;499,6000061;0,381148189
;;499,1999817;0,385292441
;;498,7999878;0,390141159
;;498,3999939;0,393951953
;;498;0,39878425
;;497,6000061;0,402405769
;;497,1999817;0,406822354
;;496,7999878;0,4106794
;;496,3999939;0,415061712
;;496;0,418847919
;;495,6000061;0,422331065
;;495,1999817;0,426383376
;;494,7999878;0,430007339
;;494,3999939;0,432988405
;;494;0,435790896
;;493,6000061;0,43940264
