Wavelength (nm) aceton;Abs_aceton;Wavelength (nm);Abs
479,1999817;0,183952212;620,7999878;0,085043713
479,6000061;0,181812942;620,4000244;0,084611289
480;0,179386586;620;0,084258556
480,3999939;0,177149385;619,5999756;0,083886132
480,7999878;0,174880505;619,2000122;0,083577938
481,1999817;0,172430277;618,7999878;0,083090015
481,6000061;0,170346454;618,4000244;0,082503587
482;0,168109164;618;0,082173102
482,3999939;0,166038111;617,5999756;0,081513733
482,7999878;0,163647592;617,2000122;0,081132546
483,1999817;0,161469802;616,7999878;0,0807098
483,6000061;0,159335196;616,4000244;0,08003179
484;0,157312483;616;0,079454571
484,3999939;0,15498814;615,5999756;0,07882309
484,7999878;0,152977988;615,2000122;0,078345686
485,1999817;0,150974467;614,7999878;0,077922568
485,6000061;0,148754314;614,4000244;0,077292874
486;0,146729201;614;0,076664127
486,3999939;0,144845098;613,5999756;0,076315403
486,7999878;0,142797515;613,2000122;0,075745165
487,1999817;0,140666947;612,7999878;0,075134963
487,6000061;0,138779357;612,4000244;0,074609116
488;0,136862978;612;0,074228995
488,3999939;0,134859458;611,5999756;0,073485382
488,7999878;0,133120954;611,2000122;0,073272906
489,1999817;0,131341398;610,7999878;0,072724245
489,6000061;0,12950471;610,4000244;0,072264381
490;0,127646238;610;0,071713999
490,3999939;0,125844553;609,5999756;0,071208566
490,7999878;0,124256089;609,2000122;0,070803985
491,1999817;0,122650757;608,7999878;0,070254959
491,6000061;0,121088527;608,4000244;0,069850326
492;0,11945384;608;0,069321118
492,3999939;0,117815197;607,5999756;0,068869509
492,7999878;0,116270259;607,2000122;0,068485707
493,1999817;0,114642486;606,7999878;0,068106905
493,6000061;0,113073207;606,4000244;0,067702241
494;0,111853659;606;0,067333005
494,3999939;0,11038772;605,5999756;0,067060411
494,7999878;0,109069414;605,2000122;0,066562086
495,1999817;0,107709922;604,7999878;0,066282317
495,6000061;0,106346525;604,4000244;0,066156678
496;0,104869835;604;0,065777853
496,3999939;0,103852786;603,5999756;0,065518036
496,7999878;0,102544792;603,2000122;0,06499327
497,1999817;0,101464756;602,7999878;0,064834379
497,6000061;0,100334793;602,4000244;0,064590439
498;0,098965257;602;0,064451151
498,3999939;0,097840764;601,5999756;0,06417238
498,7999878;0,096878976;601,2000122;0,06403292
499,1999817;0,095859915;600,7999878;0,063814022
499,6000061;0,094856866;600,4000244;0,063855246
500;0,094004311;600;0,063628674
500,3999939;0,092997737;599,5999756;0,063448288
