Wavelength (nm);Abs_HP;Abs_AT
641,5999756;0,263520509;0,094121255
641,2000122;0,260954291;0,092900172
640,7999878;0,258214623;0,092097037
640,4000244;0,255209684;0,091046572
640;0,253306121;0,090229742
639,5999756;0,250286967;0,089328811
639,2000122;0,248637587;0,088520512
638,7999878;0,24572672;0,087540708
638,4000244;0,243739352;0,086616643
638;0,241787046;0,085795164
637,5999756;0,239758104;0,085627563
637,2000122;0,237752453;0,084346905
636,7999878;0,235910162;0,083791308
636,4000244;0,234127417;0,083173931
636;0,232616052;0,082897134
635,5999756;0,230845317;0,082338631
635,2000122;0,229622379;0,081664324
634,7999878;0,228723988;0,081576325
634,4000244;0,227917761;0,081145808
634;0,226580173;0,081417806
633,5999756;0,225977212;0,080447406
633,2000122;0,224824965;0,080844767
632,7999878;0,224389479;0,08055231
632,4000244;0,22431241;0,080161661
632;0,223254234;0,080053918
631,5999756;0,222786248;0,080007486
631,2000122;0,222709045;0,08001402
630,7999878;0,222632885;0,079426259
630,4000244;0,222257152;0,07962805
630;0,221947759;0,079252116
629,5999756;0,221633852;0,079668224
629,2000122;0,221895635;0,079229005
628,7999878;0,222017199;0,079154141
628,4000244;0,221889898;0,079510152
628;0,222001448;0,079141311
627,5999756;0,22197257;0,079493053
627,2000122;0,221638203;0,079270758
626,7999878;0,221626729;0,079086274
626,4000244;0,221686065;0,079282038
626;0,221663043;0,078835286
625,5999756;0,220956534;0,07912156
625,2000122;0,221158207;0,079112925
624,7999878;0,22092253;0,079110935
624,4000244;0,220735207;0,07898467
624;0,220157102;0,078262545
623,5999756;0,220291808;0,078246303
623,2000122;0,219722241;0,07833685
622,7999878;0,219331086;0,077769868
622,4000244;0,218494594;0,07783059
622;0,217833072;0,077442534
621,5999756;0,217885047;0,077165283
621,2000122;0,217839956;0,077110589
620,7999878;0,217004925;0,077015691
620,4000244;0,216337219;0,076468058
620;0,215313584;0,07607881
619,5999756;0,214424729;0,07584472
619,2000122;0,213993743;0,075401738
618,7999878;0,213427842;0,075191341
618,4000244;0,212483764;0,074911468
618;0,211580083;0,074506156
617,5999756;0,21053268;0,074648373
617,2000122;0,210257947;0,073949739
616,7999878;0,209197938;0,073207155
616,4000244;0,208229646;0,072776742
616;0,206955642;0,072993807
615,5999756;0,206166476;0,072224453
615,2000122;0,204954639;0,071252607
