Wavelength (nm);emAF;emCE;emHA;emHP;emAT;emFA
765,55606;587291,5;477194,1875;289206,3125;246823,1719;0,096761305;0,147197904
766,55758;628897,3125;374191,0625;209880,9531;322587,875;0,090379619;0,137691029
767,5591;469831,3438;337237,9375;226244,6094;248013,1563;0,087405784;0,134416799
768,56062;496095,9375;288248,5;211667,7969;217842,4688;0,081937519;0,128158609
769,56214;436863,4688;329382,875;205348,3438;207229,8594;0,080759912;0,123228069
770,56366;452509,625;269244,0938;251226,125;207835,8438;0,075055439;0,114499807
771,56518;392233,6563;279038,5625;184912,4531;183720,8438;0,071178983;0,111520141
772,5667;388880,3438;352833,3125;225221,9844;160588,75;0,069159201;0,109268093
773,56822;405431,125;265853,625;225006,7656;157645,9375;0,063764058;0,098975985
774,56974;321466,6875;272808,2188;154533,4531;166844,4219;0,060670142;0,09938789
775,57126;364116,375;261634,6875;222942,7813;230667,3125;0,063002136;0,093495682
776,57278;294326,0313;210997,3438;148073,2344;175740,9219;0,057549515;0,090247356
777,5743;276676,6563;216204,5938;186746,7813;93989,40625;0,05481781;0,086341606
778,57582;263841,5313;211469,1094;189571,4375;150085,3906;0,055072417;0,082304806
779,57734;276064,6875;210671,0313;134353,2656;113467,125;0,051478592;0,076002556
780,57886;260022,9531;213246,6563;116359,7031;145169,4219;0,049729271;0,075243493
781,58038;322514,7813;192564,9375;170992,5469;144697,4531;0,048143538;0,071267604
782,5819;260525,4375;138261,1719;150706,8125;139903,3281;0,047963023;0,071591865
783,58342;225118,2969;150785,9375;113914;124257,2578;0,047141032;0,068622593
784,58494;239299,9063;184438,7969;133165,1563;163316,5469;0,044864403;0,06350763
785,58646;268073,4375;165399,7031;90433,4375;106582,0703;0,044839318;0,064284405
786,58798;195909,6875;137324,4531;134976,5156;101648,3203;0,041748101;0,061029151
787,5895;258444,8281;156953,875;73926,1875;111489,2813;0,040828401;0,059554032
788,59102;219301,5;198295,8906;96367,35938;94380,21875;0,039602161;0,059734384
789,59254;223743,75;148527,2188;94170,07813;89468,17188;0,036853624;0,057137863
790,59406;167170,1406;203398,7969;79536,41406;151909,0781;0,039981676;0,05409649
791,59558;203931,5938;183719,1563;105327,4375;154188,7188;0,036851225;0,05341368
792,5971;184052,1875;178834,1875;71790,625;41692,71094;0,036376746;0,052524502
793,59862;167175,9375;120243,3672;156295,3906;109656,6172;0,036413033;0,051845331
794,60014;218115,5625;153907,4688;163688,6094;149768,0938;0,034474274;0,049064374
795,60166;207512,875;164534,0938;113703,1484;33467,51563;0,03585464;0,046697862
796,60318;228795,6563;180047,2031;97820,42188;116498,625;0,035482231;0,04890777
797,6047;194605,7813;165511,1563;125827,1641;74097,29688;0,035817512;0,04581491
798,60622;190484,1563;85456,1875;80050,28906;129251,125;0,032221279;0,046057867
799,60774;178410,5313;141677,2344;67182,17188;55303,33203;0,034860467;0,043625783
800,60926;210951,5469;108417,0391;116763,5;86714,00781;0,032163489;0,045550672
801,61078;139969,4063;204246,2969;44104,44922;154554,0781;0,03009614;0,045765971
802,6123;109912;82570,3125;76398,71094;57231,0625;0,031921139;0,042590166
803,61382;;;;;0,028598004;0,040720779
804,61534;;;;;0,030593488;0,041213278
805,61686;;;;;0,031059329;0,042434319
806,61838;;;;;0,02721222;0,038417056
807,6199;;;;;0,029027837;0,037027422
808,62142;;;;;0,029179282;0,035950969
809,62294;;;;;0,026252032;0,03966619
810,62446;;;;;0,027647434;0,037346453
811,62598;;;;;0,02739759;0,033983483
812,6275;;;;;0,02684595;0,037440161
813,62902;;;;;0,027470034;0,034508029
814,63054;;;;;0,028396545;0,033933264
815,63206;;;;;0,026857292;0,033665504
816,63358;;;;;0,025500108;0,03323667
817,6351;;;;;0,024162567;0,033735211
818,63662;;;;;0,025680506;0,028961612
819,63814;;;;;0,024661379;0,030555743
820,63966;;;;;0,023070828;0,030454888
821,64118;;;;;0,023958368;0,028402838
822,6427;;;;;0,024329507;0,029926451
823,64422;;;;;0,022469388;0,028113741
824,64574;;;;;0,023670094;0,027634974
825,64726;;;;;0,02462035;0,029312401
826,64878;;;;;0,021379638;0,026941979
827,6503;;;;;0,020071368;0,026126996
828,65182;;;;;0,019484057;0,025157913
829,65334;;;;;0,022515977;0,025339386
830,65486;;;;;0,019620457;0,024134799
831,65638;;;;;0,019849501;0,02100164
832,6579;;;;;0,020672742;0,020803006
833,65942;;;;;0,01957706;0,023348493
834,66094;;;;;0,02079441;0,020875255
835,66246;;;;;0,020341744;0,019460903
836,66398;;;;;0,01530804;0,016702358
837,6655;;;;;0,020985542;0,016925737
838,66702;;;;;0,018790034;0,016088275
839,66854;;;;;0,020052701;0,016781554
840,67006;;;;;0,019466663;0,016029632
841,67158;;;;;0,016669243;0,016380944
842,6731;;;;;0,013658858;0,012425148
843,67462;;;;;0,015234608;0,012007374
844,67614;;;;;0,014788725;0,013449151
845,67766;;;;;0,018723142;0,010917423
846,67918;;;;;0,019705129;0,013910134
847,6807;;;;;0,018259066;0,009022868
848,68222;;;;;0,014274494;0,006398372
849,68374;;;;;0,021193858;0,005003624
850,68526;;;;;0,021730891;0,009002841
851,68678;;;;;0,016584253;0,012281129
852,6883;;;;;0,020895367;0,00873011
