Jasmijn,,Mads,,Eva,,Koen,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
680.4000244,0.06308295578,680.4000244,0.0236612428,680.4000244,0.04717450961,680.4000244,0.09288782626,
680,0.06823258847,680,0.02547957003,680,0.05061744526,680,0.0994817391,
679.5999756,0.0735354498,679.5999756,0.0270582363,679.5999756,0.05441096798,679.5999756,0.1066541672,
679.2000122,0.07909205556,679.2000122,0.02877183817,679.2000122,0.05823640898,679.2000122,0.1141091138,
678.7999878,0.08549954742,678.7999878,0.03074819222,678.7999878,0.06240717694,678.7999878,0.1221060231,
678.4000244,0.09184187651,678.4000244,0.03281015158,678.4000244,0.06690000743,678.4000244,0.1303938925,
678,0.09862262756,678,0.03483659402,678,0.07130198926,678,0.1392532736,
677.5999756,0.1059389561,677.5999756,0.03723767027,677.5999756,0.07652483135,677.5999756,0.1488283426,
677.2000122,0.1134654805,677.2000122,0.03962526843,677.2000122,0.08171503246,677.2000122,0.158618927,
676.7999878,0.1215123534,676.7999878,0.04224646464,676.7999878,0.08711939305,676.7999878,0.1692078114,
676.4000244,0.1298886985,676.4000244,0.04484144226,676.4000244,0.0928831473,676.4000244,0.1799559444,
676,0.1384967864,676,0.04749054089,676,0.09865073115,676,0.1913655996,
675.5999756,0.1476226151,675.5999756,0.05038005486,675.5999756,0.1047374681,675.5999756,0.2031416893,
675.2000122,0.1566848457,675.2000122,0.0530552417,675.2000122,0.1108941212,675.2000122,0.2150299847,
674.7999878,0.1663958877,674.7999878,0.05611953884,674.7999878,0.1176495999,674.7999878,0.2278862596,
674.4000244,0.1763948351,674.4000244,0.05926939473,674.4000244,0.1245929003,674.4000244,0.2408023328,
674,0.1868093759,674,0.06243066862,674,0.1314923912,674,0.2541394234,
673.5999756,0.197471112,673.5999756,0.06592537463,673.5999756,0.1387345344,673.5999756,0.2680956125,
673.2000122,0.2081916779,673.2000122,0.06934866309,673.2000122,0.1460431963,673.2000122,0.2822139561,
672.7999878,0.2190873474,672.7999878,0.07270298153,672.7999878,0.1534734517,672.7999878,0.2963960469,
672.4000244,0.2300231755,672.4000244,0.07615271211,672.4000244,0.1608682424,672.4000244,0.3107858598,
672,0.2412684411,672,0.07952765375,672,0.1687065363,672,0.3256452382,
671.5999756,0.2524402142,671.5999756,0.08275040984,671.5999756,0.176155597,671.5999756,0.3397889733,
671.2000122,0.2637608647,671.2000122,0.08646031469,671.2000122,0.183912009,671.2000122,0.3546268642,
670.7999878,0.2750739157,670.7999878,0.09007278085,670.7999878,0.1916582882,670.7999878,0.3694678545,
670.4000244,0.2863529623,670.4000244,0.09369193763,670.4000244,0.1992873698,670.4000244,0.3839454949,
670,0.297177434,670,0.09717380255,670,0.2066959441,670,0.3980931342,
669.5999756,0.3078632355,669.5999756,0.1003487185,669.5999756,0.2140104771,669.5999756,0.4120148718,
669.2000122,0.3183960617,669.2000122,0.1036601886,669.2000122,0.2211248726,669.2000122,0.4256063402,
668.7999878,0.328376472,668.7999878,0.1067173779,668.7999878,0.2280259132,668.7999878,0.4384806454,
668.4000244,0.3379766643,668.4000244,0.1098403484,668.4000244,0.2347131521,668.4000244,0.4510740042,
668,0.3473656476,668,0.1129012257,668,0.2412154377,668,0.4632553458,
667.5999756,0.3556755483,667.5999756,0.1153016686,667.5999756,0.2468826175,667.5999756,0.4741090834,
667.2000122,0.3635569513,667.2000122,0.117725499,667.2000122,0.2523587346,667.2000122,0.4843849242,
666.7999878,0.3710236251,666.7999878,0.120091185,666.7999878,0.2574419379,666.7999878,0.4941117465,
666.4000244,0.3775466084,666.4000244,0.1220006645,666.4000244,0.2620428205,666.4000244,0.5026996136,
666,0.3836630881,666,0.1237978041,666,0.2661238611,666,0.5103873014,
665.5999756,0.3887102902,665.5999756,0.12529248,665.5999756,0.2695009708,665.5999756,0.5168114305,
665.2000122,0.39321661,665.2000122,0.1266460419,665.2000122,0.2724787891,665.2000122,0.5226929784,
664.7999878,0.3968176544,664.7999878,0.1279141307,664.7999878,0.2751809955,664.7999878,0.5272070169,
664.4000244,0.3994739056,664.4000244,0.128648743,664.4000244,0.2772029936,664.4000244,0.5305073261,
664,0.4012717009,664,0.1290557683,664,0.2783859074,664,0.5328665376,
663.5999756,0.4023276567,663.5999756,0.1294203103,663.5999756,0.2791271508,663.5999756,0.5341745019,
663.2000122,0.4025714099,663.2000122,0.1295738071,663.2000122,0.2794266343,663.2000122,0.5341851711,
662.7999878,0.4018726945,662.7999878,0.1293102652,662.7999878,0.2790343761,662.7999878,0.5332458615,
662.4000244,0.4002916217,662.4000244,0.1289104968,662.4000244,0.2781625688,662.4000244,0.5311379433,
662,0.3978646696,662,0.1281667799,662,0.2767376304,662,0.5279217958,
661.5999756,0.395085901,661.5999756,0.1272055507,661.5999756,0.2749755085,661.5999756,0.5239772797,
661.2000122,0.3911209702,661.2000122,0.1259550303,661.2000122,0.2723394632,661.2000122,0.5189270377,
660.7999878,0.3866825402,660.7999878,0.1244551763,660.7999878,0.269403398,660.7999878,0.5130375624,
660.4000244,0.3818199039,660.4000244,0.1229553372,660.4000244,0.2664029598,660.4000244,0.5065689683,
660,0.3762107491,660,0.1211477444,660,0.2626488805,660,0.4988956749,
659.5999756,0.3703781664,659.5999756,0.1192933396,659.5999756,0.2588092089,659.5999756,0.4910460413,
659.2000122,0.3639752567,659.2000122,0.1173061952,659.2000122,0.2545257509,659.2000122,0.4823352695,
658.7999878,0.3572221398,658.7999878,0.115274325,658.7999878,0.2500638962,658.7999878,0.4735254943,
658.4000244,0.3500879407,658.4000244,0.1129724309,658.4000244,0.2452616692,658.4000244,0.4639295936,
658,0.3427786529,658,0.1108011007,658,0.2405005693,658,0.4543226361,
657.5999756,0.3352242708,657.5999756,0.1083159,657.5999756,0.2356143147,657.5999756,0.4442293942,
657.2000122,0.3275700808,657.2000122,0.1057569608,657.2000122,0.2305469215,657.2000122,0.4339461029,
656.7999878,0.3197388053,656.7999878,0.1033940986,656.7999878,0.2254814059,656.7999878,0.4236209393,
656.4000244,0.3120030761,656.4000244,0.1009240299,656.4000244,0.2202470154,656.4000244,0.4133121371,
656,0.3044522405,656,0.09857114404,656,0.2150990069,656,0.4031671882,
655.5999756,0.2970195711,655.5999756,0.09622163326,655.5999756,0.2102144808,655.5999756,0.3932439089,
655.2000122,0.2894681394,655.2000122,0.09394414723,655.2000122,0.2052954733,655.2000122,0.3831555545,
654.7999878,0.2822415829,654.7999878,0.09158036858,654.7999878,0.2005082369,654.7999878,0.3735399544,
654.4000244,0.2750890851,654.4000244,0.08922376484,654.4000244,0.1957320273,654.4000244,0.3640041053,
654,0.2682521343,654,0.08699938655,654,0.1910782903,654,0.3548229337,
653.5999756,0.2616145909,653.5999756,0.08494649827,653.5999756,0.1867271513,653.5999756,0.3460027874,
653.2000122,0.2551601231,653.2000122,0.08285405487,653.2000122,0.182537511,653.2000122,0.3373600543,
652.7999878,0.2488871068,652.7999878,0.08080214262,652.7999878,0.1783142984,652.7999878,0.3289917111,
652.4000244,0.2428708076,652.4000244,0.0789340362,652.4000244,0.1745081246,652.4000244,0.3210248351,
652,0.2373796552,652,0.07720044255,652,0.1708775014,652,0.3134939969,
651.5999756,0.2318780124,651.5999756,0.07542668283,651.5999756,0.1670666039,651.5999756,0.3061129749,
651.2000122,0.2265935689,651.2000122,0.07399132848,651.2000122,0.1638549715,651.2000122,0.2993478179,
650.7999878,0.2218959779,650.7999878,0.07236418128,650.7999878,0.1606767476,650.7999878,0.292717427,
650.4000244,0.2172757238,650.4000244,0.07092279941,650.4000244,0.1577384323,650.4000244,0.2865532637,
650,0.2125508189,650,0.06944669783,650,0.1546103358,650,0.280356586,
649.5999756,0.2081913054,649.5999756,0.06802854687,649.5999756,0.1517258286,649.5999756,0.2745610774,
649.2000122,0.2040248513,649.2000122,0.066825822,649.2000122,0.1488730758,649.2000122,0.2689295113,
648.7999878,0.1996747255,648.7999878,0.06542166322,648.7999878,0.1460356265,648.7999878,0.2634692192,
648.4000244,0.1958230436,648.4000244,0.06425208598,648.4000244,0.1435322911,648.4000244,0.2582561672,
648,0.191831097,648,0.06296252459,648,0.1409034282,648,0.2530557811,
647.5999756,0.187976256,647.5999756,0.06167498603,647.5999756,0.1382685155,647.5999756,0.2479028106,
647.2000122,0.1844615638,647.2000122,0.06056769565,647.2000122,0.135873422,647.2000122,0.2432711571,
646.7999878,0.1807662845,646.7999878,0.05935289711,646.7999878,0.1333659887,646.7999878,0.2383823097,
646.4000244,0.1770462841,646.4000244,0.05806955323,646.4000244,0.1306713223,646.4000244,0.2335415035,
646,0.1734652817,646,0.05726195499,646,0.1284429133,646,0.2290497422,
645.5999756,0.1697549969,645.5999756,0.05592372268,645.5999756,0.1257421225,645.5999756,0.2243351042,
645.2000122,0.1663550287,645.2000122,0.05478117615,645.2000122,0.1234246343,645.2000122,0.2197148949,
644.7999878,0.1629319489,644.7999878,0.05371201038,644.7999878,0.121051617,644.7999878,0.2153731287,
644.4000244,0.1595191509,644.4000244,0.05273595452,644.4000244,0.1185435206,644.4000244,0.2108275592,
644,0.1558337212,644,0.05154158548,644,0.115906544,644,0.2061210722,
643.5999756,0.1523499191,643.5999756,0.05047736317,643.5999756,0.1136235669,643.5999756,0.2018194646,
643.2000122,0.1491703093,643.2000122,0.04940349981,643.2000122,0.1112616211,643.2000122,0.1975788772,
642.7999878,0.1456058323,642.7999878,0.04821486399,642.7999878,0.1088133305,642.7999878,0.1933174133,
642.4000244,0.1421689987,642.4000244,0.04715026915,642.4000244,0.1063868403,642.4000244,0.1887856722,
