,PSILTAF,PSILTCE,PSILTHA,PSILTHP,PSILTAT,PSILTFA,Pigments in acetone
818.63662,,,,,0.062668527,0.091301041,
819.63814,,,,,0.059053681,0.092424437,
820.63966,,,,,0.058262945,0.089125666,
821.64118,,,,,0.057841167,0.088174722,
822.6427,,,,,0.055117903,0.086139454,
823.64422,,,,,0.054229775,0.08311995,
824.64574,,,,,0.050618477,0.083960508,
825.64726,,,,,0.049126214,0.081279763,
826.64878,,,,,0.046492142,0.079274186,
827.6503,,,,,0.043727351,0.076661901,
828.65182,,,,,0.043319527,0.076690572,
829.65334,,,,,0.040048037,0.075242996,
830.65486,,,,,0.03953721,0.071360207,
831.65638,,,,,0.039769784,0.069998805,
832.6579,,,,,0.035560983,0.067010389,
833.65942,,,,,0.032847255,0.066687666,
834.66094,,,,,0.033537113,0.06604423,
835.66246,,,,,0.031565521,0.061219612,
836.66398,,,,,0.029973808,0.05884482,
837.6655,,,,,0.027718475,0.05561092,
838.66702,,,,,0.027423333,0.054942495,
839.66854,,,,,0.025679244,0.052738564,
840.67006,,,,,0.024086465,0.049075007,
841.67158,,,,,0.020856736,0.049151481,
842.6731,,,,,0.021012136,0.046480724,
843.67462,,,,,0.018954037,0.04378149,
844.67614,,,,,0.016496525,0.043351729,
845.67766,,,,,0.019248488,0.038290798,
846.67918,,,,,0.015795539,0.039162596,
847.6807,,,,,0.013980418,0.033972294,
848.68222,,,,,0.015003994,0.031192714,
849.68374,,,,,0.013764486,0.028668958,
850.68526,,,,,0.009730792,0.027877106,
851.68678,,,,,0.008904393,0.025596871,
852.6883,,,,,0.006762027,0.02580261,
