Baseline 100%T,,Eva,,Koen,,Jasmijn,,Mads,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
607.2000122,0.339309454,607.2000122,0.09862613678,607.2000122,0.1601792425,607.2000122,0.06848570704,607.2000122,0.28587237,
606.7999878,0.3392001688,606.7999878,0.09780999273,606.7999878,0.1592843086,606.7999878,0.06810690463,606.7999878,0.2836289406,
606.4000244,0.3390761018,606.4000244,0.09689133614,606.4000244,0.1581407338,606.4000244,0.06770224124,606.4000244,0.2814939618,
606,0.3389187753,606,0.09615150094,606,0.1571614742,606,0.06733300537,606,0.2795157135,
605.5999756,0.338680774,605.5999756,0.09545474499,605.5999756,0.1564857066,605.5999756,0.06706041098,605.5999756,0.2778141797,
605.2000122,0.3386758864,605.2000122,0.09459917992,605.2000122,0.1555175334,605.2000122,0.06656208634,605.2000122,0.2760793269,
604.7999878,0.3384935856,604.7999878,0.09402368963,604.7999878,0.1546485871,604.7999878,0.06628231704,604.7999878,0.2744353414,
604.4000244,0.338182956,604.4000244,0.09360378236,604.4000244,0.1539468616,604.4000244,0.0661566779,604.4000244,0.2728399932,
604,0.3380934894,604,0.09296278656,604,0.1531273872,604,0.06577785313,604,0.2713676393,
603.5999756,0.3379035294,603.5999756,0.09239666909,603.5999756,0.1524683833,603.5999756,0.06551803648,603.5999756,0.2700099647,
603.2000122,0.3377436697,603.2000122,0.09185700119,603.2000122,0.1519526839,603.2000122,0.06499326974,603.2000122,0.2688069344,
602.7999878,0.3375386298,602.7999878,0.09140256792,602.7999878,0.1512106806,602.7999878,0.06483437866,602.7999878,0.2675508261,
602.4000244,0.3373981416,602.4000244,0.09101148695,602.4000244,0.1507198364,602.4000244,0.0645904392,602.4000244,0.2663694322,
602,0.3370795846,602,0.09074410051,602,0.1503880322,602,0.0644511506,602,0.2656261921,
601.5999756,0.3368923664,601.5999756,0.09012021124,601.5999756,0.1500671208,601.5999756,0.06417237967,601.5999756,0.2645978928,
601.2000122,0.3366113305,601.2000122,0.08982892334,601.2000122,0.1495663524,601.2000122,0.0640329197,601.2000122,0.2638374567,
600.7999878,0.3364692032,600.7999878,0.08948929608,600.7999878,0.1490970701,600.7999878,0.06381402165,600.7999878,0.2630741596,
600.4000244,0.336148113,600.4000244,0.08932932466,600.4000244,0.1487524211,600.4000244,0.06385524571,600.4000244,0.2625055015,
600,0.3360570073,600,0.08896043897,600,0.1483640075,600,0.06362867355,600,0.2618626058,
599.5999756,0.335868299,599.5999756,0.08882053941,599.5999756,0.1479755342,599.5999756,0.06344828755,599.5999756,0.2613121867,
599.2000122,0.3357133865,599.2000122,0.08839995414,599.2000122,0.1477306634,599.2000122,0.06323294342,599.2000122,0.2608243525,
598.7999878,0.3356895447,598.7999878,0.08805944026,598.7999878,0.1472984254,598.7999878,0.06286519021,598.7999878,0.2602674365,
598.4000244,0.3355291784,598.4000244,0.08794411272,598.4000244,0.147084415,598.4000244,0.06270204484,598.4000244,0.2598951459,
598,0.3353609443,598,0.08767914772,598,0.1468693316,598,0.0625807941,598,0.2596106231,
597.5999756,0.3353318274,597.5999756,0.08748555183,597.5999756,0.1465416104,597.5999756,0.0623547323,597.5999756,0.2590796649,
597.2000122,0.3352015615,597.2000122,0.08743647486,597.2000122,0.146427989,597.2000122,0.06220444664,597.2000122,0.2588857412,
596.7999878,0.3352482915,596.7999878,0.08705160767,596.7999878,0.146049574,596.7999878,0.0619953312,596.7999878,0.2585206628,
596.4000244,0.3350700438,596.4000244,0.08692851663,596.4000244,0.145988673,596.4000244,0.06190239266,596.4000244,0.2583226264,
596,0.3349277377,596,0.08685022593,596,0.1458929926,596,0.06188478321,596,0.2581952214,
595.5999756,0.3349971473,595.5999756,0.08643554896,595.5999756,0.1454503536,595.5999756,0.06157355383,595.5999756,0.2575875521,
595.2000122,0.3349047303,595.2000122,0.08638302237,595.2000122,0.1453006864,595.2000122,0.06150796637,595.2000122,0.2575678229,
594.7999878,0.3347428739,594.7999878,0.08634477854,594.7999878,0.1452766359,594.7999878,0.06134470925,594.7999878,0.2574883103,
594.4000244,0.3348478675,594.4000244,0.08612008393,594.4000244,0.1447517723,594.4000244,0.06109741703,594.4000244,0.2570542395,
594,0.334849447,594,0.08591345698,594,0.1445533037,594,0.06096106023,594,0.2567494512,
593.5999756,0.3347594142,593.5999756,0.08592831343,593.5999756,0.1444902271,593.5999756,0.06074819714,593.5999756,0.2566385567,
593.2000122,0.3348290622,593.2000122,0.08570619673,593.2000122,0.1441729963,593.2000122,0.06051954627,593.2000122,0.2562679946,
592.7999878,0.334779799,592.7999878,0.08538215607,592.7999878,0.1438800991,592.7999878,0.06037159264,592.7999878,0.2558855116,
592.4000244,0.3348649144,592.4000244,0.08520586789,592.4000244,0.1435418427,592.4000244,0.06009474024,592.4000244,0.2555757463,
592,0.3349068463,592,0.08504778147,592,0.1432094127,592,0.05979215726,592,0.2551850677,
591.5999756,0.334867388,591.5999756,0.08491747826,591.5999756,0.1429755986,591.5999756,0.05953360721,591.5999756,0.2546702921,
591.2000122,0.3350046873,591.2000122,0.08450011909,591.2000122,0.142615363,591.2000122,0.05924011022,591.2000122,0.2541207373,
590.7999878,0.3349441886,590.7999878,0.0843956992,590.7999878,0.1424599439,590.7999878,0.05907598138,590.7999878,0.2537139058,
590.4000244,0.3349861503,590.4000244,0.08407913148,590.4000244,0.1421461999,590.4000244,0.05891992152,590.4000244,0.2532446384,
590,0.3351153731,590,0.08369063586,590,0.1415772885,590,0.05848260969,590,0.2525797486,
589.5999756,0.335087657,589.5999756,0.08357951045,589.5999756,0.1413751543,589.5999756,0.0582832098,589.5999756,0.2520292699,
589.2000122,0.3351826668,589.2000122,0.08323224634,589.2000122,0.1410094202,589.2000122,0.05790453404,589.2000122,0.2511702776,
588.7999878,0.3352496624,588.7999878,0.08292032033,588.7999878,0.1405584812,588.7999878,0.05764615908,588.7999878,0.250524193,
588.4000244,0.3354148269,588.4000244,0.08249056339,588.4000244,0.1400067061,588.4000244,0.05721608922,588.4000244,0.2497572452,
588,0.3354570568,588,0.0821146518,588,0.1396306306,588,0.05693814531,588,0.248935461,
