Baseline 100%T,,Koen,,Mads,,Eva,,Jasmijn,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
598.4000244,0.3470871747,598.4000244,0.1713687032,598.4000244,0.4249438643,598.4000244,0.1716349572,598.4000244,0.09262822568,
598,0.3469493091,598,0.1691084206,598,0.4204225838,598,0.1699107587,598,0.09232635051,
597.5999756,0.346865505,597.5999756,0.1668211222,597.5999756,0.4160462916,597.5999756,0.1682409793,597.5999756,0.09195865691,
597.2000122,0.346830368,597.2000122,0.164933145,597.2000122,0.4119206965,597.2000122,0.1666099131,597.2000122,0.09169084579,
596.7999878,0.3467448056,596.7999878,0.1631437093,596.7999878,0.4081785679,596.7999878,0.1652587205,596.7999878,0.09152820706,
596.4000244,0.3466371596,596.4000244,0.1614712328,596.4000244,0.404925406,596.4000244,0.1638816744,596.4000244,0.09139844775,
596,0.3464573324,596,0.1600355655,596,0.4018959105,596,0.162845999,596,0.0911705792,
595.5999756,0.3464432955,595.5999756,0.1586864144,595.5999756,0.3990021944,595.5999756,0.1618586928,595.5999756,0.09106616676,
595.2000122,0.3465363681,595.2000122,0.1574841738,595.2000122,0.3963015676,595.2000122,0.1606228948,595.2000122,0.0907594189,
594.7999878,0.3464550376,594.7999878,0.1564449966,594.7999878,0.3941346705,594.7999878,0.1597829461,594.7999878,0.09064050019,
594.4000244,0.34641698,594.4000244,0.1555365324,594.4000244,0.3922519386,594.4000244,0.1589586288,594.4000244,0.09052665532,
594,0.3464188576,594,0.1547181755,594,0.3906210959,594,0.1585270762,594,0.0905380398,
593.5999756,0.3464206457,593.5999756,0.1542591006,593.5999756,0.3895052671,593.5999756,0.158076331,593.5999756,0.09052129835,
593.2000122,0.346445173,593.2000122,0.153837949,593.2000122,0.3883138895,593.2000122,0.15763174,593.2000122,0.09035227448,
592.7999878,0.346491158,592.7999878,0.1535030156,592.7999878,0.3875218332,592.7999878,0.1574599147,592.7999878,0.09015321732,
592.4000244,0.3466142118,592.4000244,0.1532327235,592.4000244,0.3871403635,592.4000244,0.1571935415,592.4000244,0.09015114605,
592,0.3467122316,592,0.1531246156,592,0.3867401183,592,0.1569977552,592,0.09005752206,
591.5999756,0.3466802239,591.5999756,0.1532921791,591.5999756,0.3869368136,591.5999756,0.1570203453,591.5999756,0.08993501216,
591.2000122,0.3467418253,591.2000122,0.1533681303,591.2000122,0.3871119916,591.2000122,0.1571412832,591.2000122,0.09002411366,
590.7999878,0.3469176292,590.7999878,0.1536667496,590.7999878,0.3874177039,590.7999878,0.1573429853,590.7999878,0.08998949826,
590.4000244,0.346907258,590.4000244,0.1540899426,590.4000244,0.3881261647,590.4000244,0.1576445401,590.4000244,0.09006284177,
590,0.3469986916,590,0.15440543,590,0.388874799,590,0.1580138654,590,0.09013852477,
589.5999756,0.3470706344,589.5999756,0.1549109966,589.5999756,0.3897079229,589.5999756,0.1584103405,589.5999756,0.09018156677,
589.2000122,0.3471497595,589.2000122,0.1555683762,589.2000122,0.3907464147,589.2000122,0.1588690877,589.2000122,0.09014094621,
588.7999878,0.3472764492,588.7999878,0.1560592353,588.7999878,0.3918720484,588.7999878,0.1592651159,588.7999878,0.09010373801,
588.4000244,0.3473415673,588.4000244,0.1566803753,588.4000244,0.3929944932,588.4000244,0.1598379612,588.4000244,0.09016114473,
588,0.3474118412,588,0.157348603,588,0.3942965865,588,0.160326153,588,0.09017214179,
587.5999756,0.3475434482,587.5999756,0.1579044461,587.5999756,0.3953296244,587.5999756,0.1607093811,587.5999756,0.09016206861,
587.2000122,0.3477295041,587.2000122,0.1584925503,587.2000122,0.3964651525,587.2000122,0.1611645669,587.2000122,0.09007138014,
586.7999878,0.3477443457,586.7999878,0.1591819376,586.7999878,0.3978782296,586.7999878,0.1616139114,586.7999878,0.09032974392,
586.4000244,0.3477454484,586.4000244,0.1598699093,586.4000244,0.3987565041,586.4000244,0.1620805711,586.4000244,0.09045766294,
586,0.3478304148,586,0.1604116112,586,0.3996548355,586,0.1624545157,586,0.09041284025,
585.5999756,0.3479440212,585.5999756,0.1608484834,585.5999756,0.4006627202,585.5999756,0.1629266441,585.5999756,0.09036684036,
585.2000122,0.3480815291,585.2000122,0.1612983793,585.2000122,0.4015132189,585.2000122,0.1631921381,585.2000122,0.09031039476,
584.7999878,0.3481768966,584.7999878,0.1616569161,584.7999878,0.4021753371,584.7999878,0.1635221094,584.7999878,0.09029985219,
584.4000244,0.3483037651,584.4000244,0.1617752463,584.4000244,0.4027041197,584.4000244,0.1637596339,584.4000244,0.09024742991,
584,0.3482207656,584,0.1624051481,584,0.4033545554,584,0.1640521586,584,0.0904243812,
583.5999756,0.3483383954,583.5999756,0.1623839289,583.5999756,0.4036372304,583.5999756,0.1641534567,583.5999756,0.09042511135,
583.2000122,0.3484657407,583.2000122,0.1622774005,583.2000122,0.403652519,583.2000122,0.1641461998,583.2000122,0.09015770257,
582.7999878,0.3485786915,582.7999878,0.1622183174,582.7999878,0.4036679566,582.7999878,0.1641842425,582.7999878,0.09017007053,
582.4000244,0.3487488627,582.4000244,0.162077263,582.4000244,0.4033229947,582.4000244,0.1640148014,582.4000244,0.09009001404,
582,0.3487477005,582,0.162030831,582,0.4030074179,582,0.1639568359,582,0.09005264938,
581.5999756,0.3486864269,581.5999756,0.1619408578,581.5999756,0.4026435614,581.5999756,0.1639271975,581.5999756,0.09012237936,
581.2000122,0.3487657309,581.2000122,0.1615742147,581.2000122,0.4019338787,581.2000122,0.163774848,581.2000122,0.09002134204,
580.7999878,0.3490061462,580.7999878,0.160865739,580.7999878,0.4010426402,580.7999878,0.1630942225,580.7999878,0.08967264742,
580.4000244,0.3489424884,580.4000244,0.1603946537,580.4000244,0.4001395702,580.4000244,0.1628724337,580.4000244,0.08979101479,
580,0.3490664959,580,0.1598202735,580,0.3988283873,580,0.162412867,580,0.08956952393,
579.5999756,0.3491788208,579.5999756,0.1590395123,579.5999756,0.3975413144,579.5999756,0.1617807001,579.5999756,0.08949148655,
579.2000122,0.3492383659,579.2000122,0.1582055688,579.2000122,0.3960664868,579.2000122,0.161312595,579.2000122,0.08930817991,
578.7999878,0.3493941724,578.7999878,0.1574015617,578.7999878,0.3944118321,578.7999878,0.1606612355,578.7999878,0.08921372145,
578.4000244,0.3494053185,578.4000244,0.1565812826,578.4000244,0.3929974139,578.4000244,0.1601589173,578.4000244,0.08912774175,
578,0.3494917452,578,0.1557571888,578,0.3911070824,578,0.1593395174,578,0.08888337016,
577.5999756,0.3494953215,577.5999756,0.1547153741,577.5999756,0.3892297745,577.5999756,0.1587748677,577.5999756,0.08883556724,
577.2000122,0.3495014608,577.2000122,0.1537812203,577.2000122,0.3873523176,577.2000122,0.1579850018,577.2000122,0.08876639605,
576.7999878,0.3495980203,576.7999878,0.1527272314,576.7999878,0.3853082061,576.7999878,0.1570964605,576.7999878,0.08846604824,
576.4000244,0.3497206271,576.4000244,0.1514874995,576.4000244,0.3830485642,576.4000244,0.1562188268,576.4000244,0.08818998188,
576,0.3497368097,576,0.1503290385,576,0.3808812201,576,0.155440107,576,0.08811391145,
575.5999756,0.3498093188,575.5999756,0.1491731852,575.5999756,0.3785846829,575.5999756,0.1545485109,575.5999756,0.08797485381,
575.2000122,0.3499273062,575.2000122,0.1479430646,575.2000122,0.3763281703,575.2000122,0.153610006,575.2000122,0.08785650879,
574.7999878,0.3499978781,574.7999878,0.1468852758,574.7999878,0.3738709986,574.7999878,0.1526982784,574.7999878,0.08765396476,
574.4000244,0.3500216901,574.4000244,0.1455762833,574.4000244,0.3715635836,574.4000244,0.1518565714,574.4000244,0.08754061162,
574,0.3499631882,574,0.1443499178,574,0.3690701127,574,0.150952071,574,0.08735843748,
573.5999756,0.3500662446,573.5999756,0.1430629641,573.5999756,0.3663277626,573.5999756,0.1498225927,573.5999756,0.08701399714,
573.2000122,0.3501519859,573.2000122,0.1416490972,573.2000122,0.3637495339,573.2000122,0.1487623304,573.2000122,0.08685816079,
572.7999878,0.3502283394,572.7999878,0.1401401907,572.7999878,0.361054033,572.7999878,0.147565335,572.7999878,0.08663680404,
572.4000244,0.350253135,572.4000244,0.1387560964,572.4000244,0.3581910133,572.4000244,0.1465489864,572.4000244,0.0865965113,
572,0.3503002822,572,0.1371960044,572,0.3555042446,572,0.1454363465,572,0.08638589829,
571.5999756,0.3502900898,571.5999756,0.1357780099,571.5999756,0.3526266217,571.5999756,0.1442963928,571.5999756,0.08611055464,
571.2000122,0.3503522873,571.2000122,0.1342271119,571.2000122,0.3495489061,571.2000122,0.1431449503,571.2000122,0.08592677116,
570.7999878,0.3503647149,570.7999878,0.1326723397,570.7999878,0.3464550078,570.7999878,0.1420141757,570.7999878,0.08567371964,
570.4000244,0.3503926992,570.4000244,0.1310288608,570.4000244,0.3433253765,570.4000244,0.1406508386,570.4000244,0.08533164859,
570,0.3504975736,570,0.129389897,570,0.340167284,570,0.1393470019,570,0.08518170565,
569.5999756,0.3479115963,569.5999756,0.1277572811,569.5999756,0.3370845318,569.5999756,0.1383433044,569.5999756,0.08538483828,
569.2000122,0.347923398,569.2000122,0.1259378344,569.2000122,0.3337297142,569.2000122,0.1371081471,569.2000122,0.08508612961,
568.7999878,0.3479949534,568.7999878,0.1241737753,568.7999878,0.3304169774,568.7999878,0.1356558353,568.7999878,0.08476726711,
568.4000244,0.3480179608,568.4000244,0.1223750487,568.4000244,0.3269605935,568.4000244,0.1342543364,568.4000244,0.08442112803,
568,0.3481228352,568,0.1204843521,568,0.3234511614,568,0.1329213381,568,0.08421952277,
567.5999756,0.3482626081,567.5999756,0.1186579466,567.5999756,0.3195495307,567.5999756,0.1314453334,567.5999756,0.08384270221,
567.2000122,0.3483510017,567.2000122,0.1168218777,567.2000122,0.3160468936,567.2000122,0.1299554855,567.2000122,0.08357486129,
566.7999878,0.3483029008,566.7999878,0.1149844006,566.7999878,0.3125531673,566.7999878,0.1287947595,566.7999878,0.08350709081,
566.4000244,0.3484180868,566.4000244,0.112941511,566.4000244,0.3088905811,566.4000244,0.1271680892,566.4000244,0.08312264085,
