Baseline 100%T;;Eva;;Koen;;Jasmijn;;Mads;
Wavelength (nm);Abs;Wavelength (nm);Abs;Wavelength (nm);Abs;Wavelength (nm);Abs;Wavelength (nm);Abs
683,5999756;0,345585197;683,5999756;0,4981803;683,5999756;0,693942666;683,5999756;0,262800634;683,5999756;1,253813505
683,2000122;0,345596731;683,2000122;0,510618091;683,2000122;0,708320439;683,2000122;0,274052173;683,2000122;1,288511872
682,7999878;0,345550239;682,7999878;0,522463799;682,7999878;0,721520364;682,7999878;0,285086185;682,7999878;1,321451902
682,4000244;0,345541924;682,4000244;0,532999873;682,4000244;0,733353496;682,4000244;0,295570105;682,4000244;1,351402402
682;0,345583201;682;0,542642474;682;0,743638694;682;0,305320948;682;1,37903595
681,5999756;0,345597446;681,5999756;0,551336229;681,5999756;0,752650619;681,5999756;0,314821929;681,5999756;1,403989196
681,2000122;0,345455557;681,2000122;0,558696687;681,2000122;0,760212839;681,2000122;0,323580951;681,2000122;1,426202178
680,7999878;0,345402479;680,7999878;0,565069854;680,7999878;0,766355336;680,7999878;0,331256777;680,7999878;1,445029855
680,4000244;0,345358521;680,4000244;0,570355654;680,4000244;0,771295011;680,4000244;0,338235855;680,4000244;1,461524367
680;0,345337898;680;0,574441254;680;0,77476871;680;0,344474137;680;1,475033998
679,5999756;0,345286995;679,5999756;0,577655554;679,5999756;0,776796341;679,5999756;0,349764407;679,5999756;1,485999823
679,2000122;0,345220834;679,2000122;0,579760373;679,2000122;0,777778506;679,2000122;0,353996277;679,2000122;1,49431777
678,7999878;0,345157057;678,7999878;0,581155479;678,7999878;0,777729511;678,7999878;0,357581347;678,7999878;1,500405192
678,4000244;0,345201284;678,4000244;0,581648707;678,4000244;0,776616991;678,4000244;0,360548765;678,4000244;1,504153252
678;0,345168918;678;0,581359327;678;0,77447921;678;0,362522185;678;1,506520391
677,5999756;0,34520492;677,5999756;0,580098033;677,5999756;0,771622717;677,5999756;0,363819629;677,5999756;1,506798625
677,2000122;0,345094353;677,2000122;0,578548551;677,2000122;0,768301129;677,2000122;0,364663601;677,2000122;1,505139112
676,7999878;0,34502399;676,7999878;0,5764274;676,7999878;0,764104903;676,7999878;0,364870429;676,7999878;1,502354145
676,4000244;0,344998121;676,4000244;0,573734939;676,4000244;0,759242892;676,4000244;0,364487797;676,4000244;1,498267651
676;0,3450073;676;0,570488751;676;0,753957748;676;0,363704234;676;1,492961764
675,5999756;0,34483543;675,5999756;0,567076564;675,5999756;0,748540938;675,5999756;0,362927616;675,5999756;1,486967683
675,2000122;0,344784915;675,2000122;0,563288331;675,2000122;0,742716253;675,2000122;0,361518949;675,2000122;1,479800224
674,7999878;0,344767898;674,7999878;0,559022784;674,7999878;0,736171603;674,7999878;0,35988614;674,7999878;1,471575141
674,4000244;0,344629914;674,4000244;0,554581821;674,4000244;0,72987932;674,4000244;0,358064622;674,4000244;1,462824106
674;0,344739735;674;0,549678206;674;0,722622812;674;0,355550319;674;1,452605009
673,5999756;0,344588727;673,5999756;0,544647515;673,5999756;0,715467989;673,5999756;0,353220254;673,5999756;1,441806793
673,2000122;0,344554663;673,2000122;0,539268732;673,2000122;0,708229125;673,2000122;0,350594699;673,2000122;1,430518866
672,7999878;0,344563246;672,7999878;0,533683538;672,7999878;0,70040971;672,7999878;0,34773171;672,7999878;1,418204546
672,4000244;0,344494343;672,4000244;0,528134406;672,4000244;0,692663252;672,4000244;0,344592184;672,4000244;1,405014038
