Baseline 100%T;;Koen;;Mads;;Eva;;Jasmijn;;;;;;
Wavelength (nm);Abs;Wavelength (nm);Abs;Wavelength (nm);Abs;Wavelength (nm);Abs;Wavelength (nm);Abs;;;;;
704;0,354523838;704;0,006754915;704;0,081507929;704;0,039619032;704;0,057104036;;396;1,015370607;;1,015764827
703,5999756;0,354471862;703,5999756;0,006969272;703,5999756;0,082125381;703,5999756;0,03987192;703,5999756;0,057129249;;396,3999939;1,022994161;;1,023388381
703,2000122;0,354382932;703,2000122;0,007240874;703,2000122;0,082740761;703,2000122;0,040106729;703,2000122;0,057214171;;396,7999878;1,031689048;;1,032083268
702,7999878;0,354461253;702,7999878;0,007448914;702,7999878;0,083124995;702,7999878;0,040279776;702,7999878;0,057193499;;397,1999817;1,041165948;;1,041560168
702,4000244;0,354420602;702,4000244;0,007812973;702,4000244;0,083895765;702,4000244;0,040444821;702,4000244;0,057228375;;397,6000061;1,050977349;;1,051371569
702;0,354336709;702;0,008097103;702;0,084558547;702;0,040781155;702;0,057336744;;398;1,061636806;;1,062031026
701,5999756;0,354367197;701,5999756;0,008251361;701,5999756;0,085311018;701,5999756;0,040927336;701,5999756;0,057316389;;398,3999939;1,072987556;;1,073381776
701,2000122;0,354472637;701,2000122;0,008509906;701,2000122;0,08589869;701,2000122;0,041120283;701,2000122;0,057277374;;398,7999878;1,084990859;;1,085385079
700,7999878;0,354321569;700,7999878;0,009177475;700,7999878;0,086991794;700,7999878;0,04139293;700,7999878;0,057503879;;399,1999817;1,097152948;;1,097547168
700,4000244;0,354297906;700,4000244;0,009485571;700,4000244;0,087849885;700,4000244;0,041720055;700,4000244;0,05746771;;399,6000061;1,109758735;;1,110152955
700;0,354229391;700;0,010070995;700;0,088661581;700;0,0421772;700;0,05762535;;400;1,12327826;;1,12367248
699,5999756;0,354029715;699,5999756;0,010604473;699,5999756;0,089600064;699,5999756;0,04273513;699,5999756;0,057776332;;400,3999939;1,137037396;;1,137431616
699,2000122;0,353987902;699,2000122;0,011069559;699,2000122;0,090700686;699,2000122;0,042990327;699,2000122;0,057813831;;400,7999878;1,151714325;;1,152108545
698,7999878;0,354035407;698,7999878;0,011508803;698,7999878;0,091605045;698,7999878;0,043377236;698,7999878;0,057760514;;401,1999817;1,166226864;;1,166621084
