Baseline 100%T;;Baseline 0%T;;Eva;;Jasmijn;;Mads;;Koen;;F. albivenis (Nicco);;A. thaliana (model);
Wavelength (nm);%T;Wavelength (nm);%T;Wavelength (nm);Abs;Wavelength (nm);Abs;Wavelength (nm);Abs;Wavelength (nm);Abs;Wavelength (nm);Abs;Wavelength (nm);Abs
767,5999756;63,93281174;767,5999756;-4,925065994;767,5999756;-0,000994693;767,5999756;-0,013402064;767,5999756;-0,001642719;767,5999756;-0,019922422;767,5999756;0,000496803;767,5999756;0,001128384
767,2000122;63,91366577;767,2000122;-4,987916946;767,2000122;-0,00095466;767,2000122;-0,013007424;767,2000122;-0,001136614;767,2000122;-0,020778954;767,2000122;-0,001000478;767,2000122;0,000848801
766,7999878;63,82257843;766,7999878;-4,899102688;766,7999878;-0,000751079;766,7999878;-0,013205593;766,7999878;-0,001937946;766,7999878;-0,020653035;766,7999878;-6,55E-05;766,7999878;3,68E-05
766,4000244;63,78565598;766,4000244;-4,976212025;766,4000244;-0,002365889;766,4000244;-0,014344926;766,4000244;-0,003111246;766,4000244;-0,0210036;766,4000244;-0,000790407;766,4000244;0,001328141
766;64,01708984;766;-5,018967628;766;-0,00024238;766;-0,012888781;766;-0,001176527;766;-0,019752033;766;9,24E-05;766;0,001147045
765,5999756;63,91631317;765,5999756;-4,944657326;765,5999756;-0,00033318;765,5999756;-0,013737713;765,5999756;-0,002048385;765,5999756;-0,020318689;765,5999756;0,000392505;765,5999756;0,001212871
765,2000122;64,06871033;765,2000122;-4,92965889;765,2000122;-0,000587835;765,2000122;-0,012329299;765,2000122;-0,00076157;765,2000122;-0,019166209;765,2000122;0,001808062;765,2000122;0,002640302
764,7999878;63,95200348;764,7999878;-4,972244263;764,7999878;-0,001520053;764,7999878;-0,013179074;764,7999878;-0,001834954;764,7999878;-0,020694995;764,7999878;0,000463192;764,7999878;0,000925321
764,4000244;63,92307281;764,4000244;-4,961406708;764,4000244;-0,000849368;764,4000244;-0,013336198;764,4000244;-0,002747782;764,4000244;-0,021230251;764,4000244;-0,00025454;764,4000244;0,001353977
764;64,06477356;764;-4,979204655;764;-0,000875977;764;-0,012182986;764;-0,001608265;764;-0,020960091;764;-0,000310934;764;0,001024895
763,5999756;64,06603241;763,5999756;-5,02973032;763,5999756;-0,000484884;763,5999756;-0,013201825;763,5999756;-0,001169299;763,5999756;-0,019479712;763,5999756;0,000784302;763,5999756;0,001722447
763,2000122;64,07575226;763,2000122;-4,925676346;763,2000122;-0,000899899;763,2000122;-0,013525937;763,2000122;-0,000764154;763,2000122;-0,019794971;763,2000122;-0,00046849;763,2000122;0,000873572
762,7999878;64,07082367;762,7999878;-4,940589428;762,7999878;-0,000406271;762,7999878;-0,013151148;762,7999878;-0,001777622;762,7999878;-0,019860951;762,7999878;-0,001069688;762,7999878;-0,000312849
762,4000244;64,14344025;762,4000244;-4,968534946;762,4000244;0,000355171;762,4000244;-0,011959471;762,4000244;-0,000762449;762,4000244;-0,019849725;762,4000244;-0,000104153;762,4000244;0,001046509
762;64,04634857;762;-4,877392769;762;-0,000415582;762;-0,013477506;762;-0,001350234;762;-0,021045921;762;3,48E-05;762;0,001114785
761,5999756;64,1973877;761,5999756;-4,913680553;761,5999756;-0,000931723;761,5999756;-0,011514211;761,5999756;-0,001073819;761,5999756;-0,019612901;761,5999756;0,000484363;761,5999756;0,000225603
