ab-Eva;ab-Jasmijn;ab-Mads;ab-Koen;ab-Nicco;ab-model;flLT-AF;flLT-CE;flLT-HA;flLT-HP;flLT-FA;flLT-AT;flRT-FA;flRT-AT;flRT-AF;flRT-CE;flRT-HA;flRT-HP
-0,002096819;-0,013425958;-0,002506694;-0,020400347;-0,000960859;4,76E-06;49914,12891;215460,5625;154556,0781;383106,0938;207780,8125;0,001870322;0,00093897;0,000844669;12539,91797;13058,79688;9920,992188;6059,902344
-0,001212255;-0,013705409;-0,00228808;-0,020841429;0,00074862;0,001371194;59830,11719;243441,1875;163203,2656;422834,0938;229559,1875;0,001969296;0,000910101;0,001117012;4279,722656;9936,453125;7292,109375;2403,095703
-0,003151647;-0,014345527;-0,002686815;-0,020061703;-0,000374098;0,001368259;57990,93359;203069,75;178784,2813;431295,625;227223,7813;0,001731487;0,001183269;0,000867169;6670,152344;12851,21875;9223,806641;3849,603516
-0,001282514;-0,012914662;-0,001443382;-0,020502882;-0,000185407;0,000131961;59609,9375;242766,125;186576,2188;465623,3125;263669,375;0,001722366;0,001318805;0,000933094;15211,35547;6313,589844;-1134,998047;7212,525391
-0,001415826;-0,013214231;-0,001273687;-0,018674525;0,000105912;0,002395767;77914,07031;267488,875;202072,7813;535290,625;277006,7188;0,001722384;0,001514269;0,001294797;-910,0664063;5403,648438;296,46875;10633,15039
-0,002725814;-0,014053807;-0,00295295;-0,020415166;-0,000123044;0,000991113;78888,5625;266849,375;225207,1094;529766,4375;295798,5938;0,001496015;0,001707499;0,001585912;15183,45703;9400,570313;-1162,40625;13118,82227
-0,000401358;-0,012256174;-0,00110057;-0,01840014;0,00120485;0,002395195;77858,60938;306302;236606,5156;543315,75;306144,0625;0,001484523;0,001866931;0,001768764;7932,683594;4554,933594;11606,90625;7959,408203
-0,001073354;-0,012965819;-0,000666104;-0,020737594;0,001087354;0,001079154;90954,89063;319422,8438;224807,7188;577398,75;314825,8438;0,001237414;0,002287733;0,001787681;7012,285156;12122,13281;6266,382813;12986,19531
-0,001245708;-0,013648018;-0,00244178;-0,020019978;-0,00059104;0,000735084;89463,9375;291236,1563;246255,0313;613626,25;314766,3438;0,001477382;0,002364843;0,002318797;12130,09766;15264,88281;7361,875;9074,599609
-0,000702546;-0,013532761;-0,001458913;-0,020002032;-0,000251591;0,001094257;88520,17188;339116,4063;249916,4375;580887,75;341656,3438;0,000952348;0,002685826;0,002253317;22452,11328;18041,9375;2349,503906;13190,28711
