Nicco;Model;Eva;Jasmijn;Mads;Koen;Koen-AC;fl-AT;fl-AF;;;;;;
8,65E-04;-0,001034981;0,041180361;0,004957707;0,105999678;0,091983385;0,004512272;0,096940088;1283127,125;;;;;;
9,37E-04;-8,02E-04;0,042664871;0,005735571;0,109417394;0,093882896;0,004740964;0,118969133;1315124,5;;;;;;
6,43E-04;-8,65E-04;0,044251569;0,006249566;0,112954736;0,096093036;0,00519465;0,144840338;1528824,25;;;;;;
7,72E-04;-9,25E-04;0,045593616;0,006740165;0,116628386;0,098306634;0,005328357;0,169133422;1735265;;;;;;
8,39E-04;-7,64E-04;0,047143921;0,007278883;0,120528594;0,100576103;0,005336533;0,205636499;2107802;;;;;;
0,001113289;-8,35E-04;0,048758425;0,007907943;0,124491625;0,103050657;0,005646084;0,236808529;2380759,5;;;;;;
0,001237485;-6,87E-04;0,05045823;0,008549374;0,128879696;0,105514042;0,005817784;0,281254584;2703096,75;;;;;;
0,001138858;-5,16E-04;0,052167051;0,009095761;0,133332133;0,108159997;0,006100717;0,328119519;3188939,5;;;;;;
0,001009331;-6,03E-04;0,05405641;0,009817184;0,13775444;0,110757433;0,0063033;0,386644759;3550804,5;;;;;;
0,001101537;-6,35E-04;0,056168705;0,010866016;0,142867103;0,113877393;0,006754915;0,451414763;3910805,25;;;;;;
0,001192783;-9,66E-04;0,058134772;0,011518957;0,14784959;0,116844811;0,006969272;0,494397901;4554048,5;;;;;;
0,001334588;-7,15E-04;0,060384143;0,012495099;0,153332532;0,120262966;0,007240874;0,564743469;5010040;;;;;;
0,001405198;-5,00E-04;0,062511943;0,013284779;0,159026638;0,123580501;0,007448914;0,598457718;5806773;;;;;;
0,001703187;-4,00E-04;0,065041557;0,014155292;0,164858863;0,127109215;0,007812973;0,642764805;6212568;;;;;;
0,001663082;-3,31E-04;0,067693189;0,015046339;0,17129612;0,13093926;0,008097103;0,702541731;7063849;;;;;;
0,001631187;-1,77E-04;0,07043016;0,01615547;0,177877277;0,134957776;0,008251361;0,765150974;7451087,5;;;;;;
0,00140004;-5,68E-04;0,07340347;0,017221896;0,184883818;0,139233559;0,008509906;0,841311391;7319385,5;;;;;;
0,002096123;-3,61E-04;0,076572903;0,018430611;0,19241339;0,143903643;0,009177475;0,906153527;9110157;;;;;;
0,001871958;-3,24E-04;0,07982216;0,019640747;0,200368851;0,148629203;0,009485571;0,894797316;9523741;;;;;;
0,002068484;-2,14E-04;0,08322525;0,020969057;0,208583221;0,153566718;0,010070995;0,913254526;9911985;;;;;;
0,002140092;-3,52E-04;0,087112278;0,022405086;0,21754168;0,158883259;0,010604473;0,966488872;11081737;;;;;;
0,002489104;-2,40E-04;0,091097072;0,023808332;0,226804689;0,164609999;0,011069559;0,938865838;11762757;;;;;;
0,00208641;-3,83E-04;0,095216423;0,0255742;0,23667638;0,170417965;0,011508803;0,967446144;12518667;;;;;;
0,002525355;-7,45E-05;0,099664576;0,027055508;0,24690418;0,176626876;0,012137104;0,952844181;12879137;;;;;;
0,002660405;-5,23E-05;0,104316786;0,02877311;0,258024395;0,183239013;0,012734459;1;12948062;;;;;;
0,002786804;1,47E-04;0,109288529;0,030773949;0,26960668;0,19032301;0,013163169;0,985867583;12569265;;;;;;
0,002710846;1,90E-05;0,114549093;0,032705139;0,281480938;0,19735083;0,013726376;0,970299911;13843096;;;;;;
0,002794255;7,72E-05;0,119977132;0,034751225;0,294134736;0,205031335;0,014517578;0,971442386;14847995;;;;;;
0,00280978;-3,05E-05;0,126137525;0,037382942;0,30797416;0,213395596;0,015036853;0,950540333;14988751;;;;;;
0,003118186;-8,35E-05;0,132154197;0,039756108;0,32211712;0,221831948;0,015928101;0,926471329;13966207;;;;;;
0,00326176;2,85E-05;0,138548851;0,04233218;0,337034583;0,230777398;0,016825596;0,887158301;14535988;;;;;;
0,003477626;4,12E-04;0,145514444;0,045042288;0,353045046;0,240240604;0,017652366;0,856355956;14316853;;;;;;
0,00356691;5,07E-04;0,152749494;0,048237715;0,369721204;0,250105381;0,018534144;0,831639791;14449810;;;;;;
0,003566107;4,95E-04;0,160164312;0,051282946;0,386941403;0,26014936;0,019552059;0,770165109;14202874;;;;;;
0,003629459;7,26E-04;0,168071196;0,054609418;0,405440807;0,271162629;0,020769782;0,772026879;14626193;;;;;;
0,003820972;4,41E-04;0,176263064;0,058373511;0,424779415;0,282302171;0,021778122;0,727410466;13357279;;;;;;
0,00390501;3,28E-04;0,18469736;0,062085722;0,445004284;0,293985724;0,022830985;0,686822732;13883653;;;;;;
0,004118237;5,69E-04;0,193897501;0,066331558;0,466659993;0,306237251;0,024181228;0,644027282;14247687;;;;;;
0,004549343;7,39E-04;0,203508228;0,070619255;0,489613503;0,319408387;0,025689779;0,611354078;13688339;;;;;;
0,004719484;0,001114422;0,213396221;0,075186878;0,513052523;0,332416356;0,027295232;0,597157049;13111714;;;;;;
0,004557864;0,001041968;0,223677889;0,080392979;0,537843823;0,346402258;0,028841738;0,554553472;11990487;;;;;;
0,004683413;9,05E-04;0,234338984;0,085638501;0,564140797;0,360945404;0,030609651;0,520372555;10061803;;;;;;
0,005118047;0,001201968;0,245399386;0,091224708;0,591436923;0,375620574;0,032477476;0,49244474;10242787;;;;;;
0,005356413;0,001487389;0,257101595;0,097405747;0,620208383;0,391330391;0,034611091;0,466419045;10766571;;;;;;
0,006125717;0,00172962;0,269336015;0,104050398;0,650631011;0,407418519;0,036986396;0,425791648;10845213;;;;;;
0,005680411;0,001508637;0,282149553;0,110966809;0,68230021;0,424284369;0,039554011;0,412633178;10405353;;;;;;
0,005472612;0,001410277;0,29483372;0,118140996;0,714630961;0,440965742;0,042136353;0,390635016;9218939;;;;;;
0,005869652;0,001880019;0,308003664;0,125956416;0,748536289;0,458425373;0,04498262;0,360808092;8734229;;;;;;
0,006163551;0,001994505;0,322007477;0,134339437;0,784305871;0,476526558;0,048184611;0,32137771;8357466;;;;;;
0,00649191;0,00217416;0,336037278;0,142934158;0,820451021;0,494579703;0,051519986;0,317248975;7884376;;;;;;
0,006569341;0,002328149;0,350874484;0,152168527;0,858481646;0,513355374;0,055058863;0,291333211;7619819;;;;;;
0,00682467;0,002399958;0,365826458;0,162041247;0,897720993;0,532691181;0,059275717;0,264659666;7353023,5;;;;;;
0,007142422;0,002607931;0,380837917;0,172282338;0,93733865;0,551737905;0,063635118;0,247896762;6611762;;;;;;
